#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
05215	Prostate cancer	36	6.51e-25	ENSP00000216797,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000244741,ENSP00000250971,ENSP00000251849,ENSP00000257290,ENSP00000262643,ENSP00000263967,ENSP00000265165,ENSP00000265171,ENSP00000267163,ENSP00000268035,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000295400,ENSP00000302665,ENSP00000309845,ENSP00000324806,ENSP00000329623,ENSP00000330382,ENSP00000335153,ENSP00000339007,ENSP00000344456,ENSP00000345571,ENSP00000354558,ENSP00000363822,ENSP00000368880,ENSP00000381607,ENSP00000384273,ENSP00000384675,ENSP00000410294,ENSP00000444972	AKT1,AR,BCL2,BRAF,CCND1,CCNE1,CDKN1A,CDKN1B,CTNNB1,E2F1,EGF,EGFR,FGFR2,FOXO1,GRB2,GSK3B,GSTP1,HRAS,HSP90AA1,IGF1,IGF1R,INS,LEF1,MTOR,NFKB1,NFKBIA,PDGFB,PDGFRA,PIK3CA,RAF1,RB1,RELA,SOS1,TCF7L2,TGFA,TP53
05140	Leishmaniasis	32	1.07e-23	ENSP00000211287,ENSP00000216797,ENSP00000221930,ENSP00000226574,ENSP00000229135,ENSP00000229794,ENSP00000229829,ENSP00000231228,ENSP00000231449,ENSP00000263341,ENSP00000271450,ENSP00000290219,ENSP00000303231,ENSP00000305355,ENSP00000306245,ENSP00000327251,ENSP00000339398,ENSP00000353099,ENSP00000354394,ENSP00000356438,ENSP00000356713,ENSP00000360266,ENSP00000363089,ENSP00000364076,ENSP00000371067,ENSP00000380334,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000408146,ENSP00000412237	FCGR2A,FOS,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNG,IFNGR1,IFNGR2,IL10,IL12A,IL12B,IL1B,IL4,JAK2,JUN,MAPK13,MAPK14,NCF4,NFKB1,NFKBIA,NOS2,PRKCB,PTGS2,RELA,STAT1,TGFB1,TLR4,TNF
05164	Influenza A	45	9.69e-22	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000225831,ENSP00000226574,ENSP00000229135,ENSP00000229794,ENSP00000229829,ENSP00000231228,ENSP00000241261,ENSP00000247470,ENSP00000251849,ENSP00000258743,ENSP00000263341,ENSP00000263967,ENSP00000264818,ENSP00000264832,ENSP00000270202,ENSP00000276927,ENSP00000290219,ENSP00000303231,ENSP00000305355,ENSP00000324806,ENSP00000330341,ENSP00000337383,ENSP00000339398,ENSP00000343957,ENSP00000353099,ENSP00000353483,ENSP00000354394,ENSP00000356694,ENSP00000356713,ENSP00000360266,ENSP00000363089,ENSP00000364076,ENSP00000364802,ENSP00000369213,ENSP00000369554,ENSP00000369581,ENSP00000371067,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000408146	AKT1,CCL2,DDX58,FASLG,GSK3B,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,HSPA1A,ICAM1,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL12A,IL12B,IL1B,IL6,JAK2,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,NLRP3,PIK3CA,PRKCB,PYCARD,RAF1,RELA,SOCS3,STAT1,TLR4,TNF,TNFRSF1A,TNFSF10,TYK2
05161	Hepatitis B	41	2.3e-21	ENSP00000216797,ENSP00000221930,ENSP00000226574,ENSP00000227507,ENSP00000228872,ENSP00000244741,ENSP00000251849,ENSP00000255465,ENSP00000257904,ENSP00000258743,ENSP00000262643,ENSP00000263967,ENSP00000264657,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000274026,ENSP00000276927,ENSP00000301633,ENSP00000305355,ENSP00000306245,ENSP00000309845,ENSP00000311032,ENSP00000329623,ENSP00000339007,ENSP00000345571,ENSP00000350941,ENSP00000351255,ENSP00000351273,ENSP00000353483,ENSP00000354394,ENSP00000356694,ENSP00000360266,ENSP00000361405,ENSP00000363089,ENSP00000369213,ENSP00000369554,ENSP00000369581,ENSP00000384273,ENSP00000398698	AKT1,BCL2,BIRC5,CASP3,CASP8,CCNA1,CCNA2,CCND1,CCNE1,CDK4,CDK6,CDKN1A,CDKN1B,DDX58,E2F1,FASLG,FOS,GRB2,HRAS,IFNA1,IFNA2,IFNB1,IL6,JUN,MAPK8,MMP9,NFKB1,NFKBIA,PIK3CA,PRKCB,RAF1,RB1,RELA,SRC,STAT1,STAT3,STAT4,TGFB1,TLR4,TNF,TP53
04068	FoxO signaling pathway	38	4.67e-21	ENSP00000211287,ENSP00000212015,ENSP00000221930,ENSP00000227507,ENSP00000228872,ENSP00000229794,ENSP00000241052,ENSP00000241261,ENSP00000244741,ENSP00000250971,ENSP00000251849,ENSP00000256442,ENSP00000258743,ENSP00000262160,ENSP00000263967,ENSP00000264657,ENSP00000265171,ENSP00000268035,ENSP00000270202,ENSP00000274255,ENSP00000275493,ENSP00000278616,ENSP00000288602,ENSP00000302665,ENSP00000303830,ENSP00000304895,ENSP00000306157,ENSP00000309845,ENSP00000319814,ENSP00000339007,ENSP00000346148,ENSP00000353483,ENSP00000356022,ENSP00000356694,ENSP00000365016,ENSP00000368880,ENSP00000384675,ENSP00000412237	AKT1,ATM,BRAF,CAT,CCNB1,CCND1,CDKN1A,CDKN1B,EGF,EGFR,FASLG,FOXO1,GRB2,HRAS,IGF1,IGF1R,IL10,IL6,IL7R,INS,INSR,IRS1,IRS2,MAPK13,MAPK14,MAPK8,PCK1,PIK3CA,PRKAA1,RAF1,SIRT1,SKP2,SMAD2,SOD2,SOS1,STAT3,TGFB1,TNFSF10
05168	Herpes simplex infection	45	6.48e-21	ENSP00000162749,ENSP00000216797,ENSP00000223642,ENSP00000225831,ENSP00000226574,ENSP00000229135,ENSP00000229829,ENSP00000231228,ENSP00000258743,ENSP00000263341,ENSP00000264818,ENSP00000269305,ENSP00000274255,ENSP00000276927,ENSP00000290219,ENSP00000296545,ENSP00000303231,ENSP00000306245,ENSP00000309555,ENSP00000311032,ENSP00000330341,ENSP00000339398,ENSP00000343957,ENSP00000347948,ENSP00000351273,ENSP00000353099,ENSP00000353483,ENSP00000354394,ENSP00000355031,ENSP00000356694,ENSP00000356713,ENSP00000360266,ENSP00000364076,ENSP00000365402,ENSP00000369213,ENSP00000369554,ENSP00000369581,ENSP00000371067,ENSP00000377892,ENSP00000382034,ENSP00000384273,ENSP00000393566,ENSP00000398698,ENSP00000403495,ENSP00000408146	C5,CASP3,CASP8,CCL2,DDX58,FASLG,FOS,HCFC1,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL12A,IL12B,IL15,IL1B,IL6,JAK2,JUN,LTA,MAPK8,NFKB1,NFKBIA,PER3,RELA,SKP2,SOCS3,SRSF5,STAT1,TNF,TNFRSF14,TNFRSF1A,TP53,TYK2
04630	Jak-STAT signaling pathway	42	1.63e-20	ENSP00000225474,ENSP00000226730,ENSP00000227507,ENSP00000229134,ENSP00000229135,ENSP00000231228,ENSP00000231449,ENSP00000244174,ENSP00000252723,ENSP00000258743,ENSP00000262345,ENSP00000263967,ENSP00000264497,ENSP00000264563,ENSP00000264657,ENSP00000264818,ENSP00000270202,ENSP00000276927,ENSP00000290219,ENSP00000296545,ENSP00000296871,ENSP00000302564,ENSP00000303231,ENSP00000306157,ENSP00000312652,ENSP00000321345,ENSP00000329418,ENSP00000330341,ENSP00000339007,ENSP00000343957,ENSP00000351255,ENSP00000354394,ENSP00000356713,ENSP00000362082,ENSP00000369293,ENSP00000369554,ENSP00000369581,ENSP00000371067,ENSP00000384675,ENSP00000403103,ENSP00000409000,ENSP00000412237	AKT1,BCL2L1,CCND1,CCND3,CSF2,CSF3,EPO,GRB2,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL10,IL11,IL12A,IL12B,IL12RB1,IL12RB2,IL15,IL2,IL21,IL23R,IL26,IL28B,IL2RA,IL4,IL6,IL7R,IL9R,JAK2,LEP,PIK3CA,SOCS1,SOCS3,SOS1,STAT1,STAT3,STAT4,TYK2
05162	Measles	38	6.91e-20	ENSP00000216797,ENSP00000226574,ENSP00000226730,ENSP00000227507,ENSP00000228872,ENSP00000229135,ENSP00000231228,ENSP00000231449,ENSP00000241261,ENSP00000257904,ENSP00000258743,ENSP00000262643,ENSP00000263341,ENSP00000263967,ENSP00000264657,ENSP00000264818,ENSP00000265734,ENSP00000269305,ENSP00000270202,ENSP00000276927,ENSP00000290219,ENSP00000300692,ENSP00000303231,ENSP00000324806,ENSP00000343957,ENSP00000354394,ENSP00000356694,ENSP00000356713,ENSP00000362082,ENSP00000363089,ENSP00000364802,ENSP00000369213,ENSP00000369293,ENSP00000369554,ENSP00000369581,ENSP00000371067,ENSP00000384273,ENSP00000429931	AKT1,CCND1,CCND3,CCNE1,CD3D,CDK4,CDK6,CDKN1B,DDX58,EIF3H,FASLG,GSK3B,HSPA1A,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL12A,IL12B,IL1B,IL2,IL2RA,IL4,IL6,JAK2,NFKB1,NFKBIA,PIK3CA,RELA,STAT1,STAT3,TLR4,TNFSF10,TP53,TYK2
05142	Chagas disease (American trypanosomiasis)	33	1.17e-19	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000221930,ENSP00000223095,ENSP00000225245,ENSP00000225831,ENSP00000226574,ENSP00000226730,ENSP00000229135,ENSP00000229794,ENSP00000231228,ENSP00000258743,ENSP00000262160,ENSP00000263341,ENSP00000263967,ENSP00000270202,ENSP00000290219,ENSP00000300692,ENSP00000303231,ENSP00000306245,ENSP00000327251,ENSP00000351273,ENSP00000353483,ENSP00000354782,ENSP00000356694,ENSP00000356713,ENSP00000360266,ENSP00000363089,ENSP00000369581,ENSP00000384273,ENSP00000398698,ENSP00000412237	AKT1,CASP8,CCL2,CCL3,CD247,CD3D,FASLG,FOS,IFNB1,IFNG,IFNGR1,IFNGR2,IL10,IL12A,IL12B,IL1B,IL2,IL6,JUN,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,NOS2,PIK3CA,RELA,SERPINE1,SMAD2,TGFB1,TLR4,TNF,TNFRSF1A
04668	TNF signaling pathway	34	3.6e-19	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000225831,ENSP00000226574,ENSP00000229794,ENSP00000233957,ENSP00000258743,ENSP00000263056,ENSP00000263341,ENSP00000263967,ENSP00000264832,ENSP00000270202,ENSP00000294728,ENSP00000296545,ENSP00000296871,ENSP00000300589,ENSP00000305422,ENSP00000306245,ENSP00000311032,ENSP00000330341,ENSP00000333896,ENSP00000351273,ENSP00000351671,ENSP00000353483,ENSP00000356438,ENSP00000360266,ENSP00000361405,ENSP00000365435,ENSP00000368683,ENSP00000384273,ENSP00000398698,ENSP00000403495,ENSP00000427279	AKT1,CASP3,CASP8,CCL2,CCL20,CEBPB,CSF2,CXCL2,EDN1,FOS,ICAM1,IL15,IL18R1,IL1B,IL6,JUN,LTA,MAP3K8,MAPK13,MAPK14,MAPK8,MMP9,NFKB1,NFKBIA,NOD2,PIK3CA,PTGS2,RELA,RPS6KA4,SOCS3,TNF,TNFRSF1A,TNFRSF1B,VCAM1
04660	T cell receptor signaling pathway	32	2.37e-18	ENSP00000211287,ENSP00000216797,ENSP00000226574,ENSP00000226730,ENSP00000229135,ENSP00000229794,ENSP00000231449,ENSP00000234310,ENSP00000251849,ENSP00000257904,ENSP00000263056,ENSP00000263967,ENSP00000270202,ENSP00000296871,ENSP00000300692,ENSP00000303939,ENSP00000306245,ENSP00000309845,ENSP00000314458,ENSP00000319476,ENSP00000324806,ENSP00000339007,ENSP00000354782,ENSP00000360266,ENSP00000378306,ENSP00000378323,ENSP00000378845,ENSP00000384273,ENSP00000384675,ENSP00000398698,ENSP00000400175,ENSP00000412237	AKT1,CD247,CD3D,CDC42,CDK4,CSF2,CTLA4,FOS,GRB2,GSK3B,HRAS,ICOS,IFNG,IL10,IL2,IL4,JUN,LAT,MAP3K8,MAPK13,MAPK14,NFKB1,NFKBIA,PIK3CA,PPP3CA,PPP3CB,PPP3R1,RAF1,RELA,RHOA,SOS1,TNF
05214	Glioma	26	2.37e-18	ENSP00000227507,ENSP00000244741,ENSP00000251849,ENSP00000257290,ENSP00000257904,ENSP00000263967,ENSP00000265171,ENSP00000265734,ENSP00000267163,ENSP00000268035,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000295400,ENSP00000302665,ENSP00000305355,ENSP00000309845,ENSP00000330382,ENSP00000339007,ENSP00000345571,ENSP00000354558,ENSP00000381412,ENSP00000384675,ENSP00000394932,ENSP00000401303	AKT1,BRAF,CAMK2A,CCND1,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,EGF,EGFR,GRB2,HRAS,IGF1,IGF1R,MTOR,PDGFB,PDGFRA,PIK3CA,PRKCB,RAF1,RB1,SHC1,SOS1,TGFA,TP53
05323	Rheumatoid arthritis	30	2.4e-18	ENSP00000221930,ENSP00000225245,ENSP00000225831,ENSP00000229135,ENSP00000229829,ENSP00000258743,ENSP00000263341,ENSP00000264246,ENSP00000264563,ENSP00000264832,ENSP00000282397,ENSP00000296545,ENSP00000296871,ENSP00000303939,ENSP00000306245,ENSP00000332049,ENSP00000339398,ENSP00000344192,ENSP00000349252,ENSP00000351671,ENSP00000353099,ENSP00000360266,ENSP00000361125,ENSP00000363089,ENSP00000364076,ENSP00000379140,ENSP00000382034,ENSP00000393566,ENSP00000398698,ENSP00000408146	CCL2,CCL20,CCL3,CD80,CD86,CSF2,CTLA4,CXCL12,FLT1,FOS,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,ICAM1,IFNG,IL11,IL15,IL17A,IL1B,IL6,ITGAL,JUN,TGFB1,TLR4,TNF,VEGFA
04015	Rap1 signaling pathway	45	4.14e-18	ENSP00000168712,ENSP00000211287,ENSP00000222390,ENSP00000229794,ENSP00000248076,ENSP00000250971,ENSP00000251849,ENSP00000257290,ENSP00000260356,ENSP00000260600,ENSP00000260766,ENSP00000261769,ENSP00000263967,ENSP00000264498,ENSP00000265171,ENSP00000267843,ENSP00000268035,ENSP00000270202,ENSP00000275493,ENSP00000282397,ENSP00000288135,ENSP00000288602,ENSP00000294312,ENSP00000302665,ENSP00000303830,ENSP00000305355,ENSP00000309845,ENSP00000314458,ENSP00000317272,ENSP00000321326,ENSP00000330382,ENSP00000332549,ENSP00000334122,ENSP00000344456,ENSP00000348461,ENSP00000349252,ENSP00000350941,ENSP00000358511,ENSP00000361125,ENSP00000378845,ENSP00000385450,ENSP00000386229,ENSP00000391669,ENSP00000400175,ENSP00000410294	ADCY3,AKT1,BCAR1,BRAF,CDC42,CDH1,CNR1,CTNNB1,EGF,EGFR,F2R,F2RL3,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FLT1,GRIN2A,HGF,HRAS,IGF1,IGF1R,INS,INSR,ITGAL,KIT,LAT,MAGI1,MAPK13,MAPK14,MET,PDGFB,PDGFRA,PIK3CA,PLCE1,PRKCB,RAC1,RAF1,RGS14,RHOA,SRC,THBS1,VEGFA
04380	Osteoclast differentiation	35	6.03e-18	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000221930,ENSP00000226574,ENSP00000229135,ENSP00000229794,ENSP00000234310,ENSP00000252818,ENSP00000262629,ENSP00000263341,ENSP00000263967,ENSP00000264716,ENSP00000264818,ENSP00000270202,ENSP00000271450,ENSP00000287820,ENSP00000290219,ENSP00000306245,ENSP00000308928,ENSP00000329418,ENSP00000330341,ENSP00000339007,ENSP00000343957,ENSP00000348461,ENSP00000353483,ENSP00000354394,ENSP00000356713,ENSP00000360266,ENSP00000369581,ENSP00000378306,ENSP00000378323,ENSP00000380334,ENSP00000384273,ENSP00000398698	AKT1,CYLD,FCGR2A,FOS,FOSL2,GRB2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,IL1B,JUN,JUND,MAPK13,MAPK14,MAPK8,NCF4,NFKB1,NFKBIA,PIK3CA,PPARG,PPP3CA,PPP3CB,PPP3R1,RAC1,RELA,SOCS1,SOCS3,STAT1,TGFB1,TNF,TNFRSF1A,TYK2,TYROBP
05218	Melanoma	27	6.03e-18	ENSP00000168712,ENSP00000222390,ENSP00000227507,ENSP00000244741,ENSP00000251849,ENSP00000257290,ENSP00000257904,ENSP00000261769,ENSP00000263967,ENSP00000264498,ENSP00000265171,ENSP00000265734,ENSP00000267163,ENSP00000267843,ENSP00000268035,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000294312,ENSP00000302665,ENSP00000309845,ENSP00000317272,ENSP00000330382,ENSP00000334122,ENSP00000345571,ENSP00000394932	AKT1,BRAF,CCND1,CDH1,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,EGF,EGFR,FGF19,FGF2,FGF3,FGF4,FGF7,HGF,HRAS,IGF1,IGF1R,MET,PDGFB,PDGFRA,PIK3CA,RAF1,RB1,TP53
05330	Allograft rejection	20	7.63e-18	ENSP00000216341,ENSP00000226730,ENSP00000229135,ENSP00000229829,ENSP00000231228,ENSP00000231449,ENSP00000264246,ENSP00000303231,ENSP00000332049,ENSP00000339398,ENSP00000353099,ENSP00000356694,ENSP00000361359,ENSP00000364076,ENSP00000365402,ENSP00000382034,ENSP00000393566,ENSP00000398698,ENSP00000408146,ENSP00000412237	CD40,CD80,CD86,FASLG,GZMB,HLA-C,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,IFNG,IL10,IL12A,IL12B,IL2,IL4,TNF
04152	AMPK signaling pathway	34	1.55e-17	ENSP00000003084,ENSP00000212015,ENSP00000219476,ENSP00000225577,ENSP00000227507,ENSP00000250971,ENSP00000255465,ENSP00000263967,ENSP00000268035,ENSP00000270202,ENSP00000274026,ENSP00000287820,ENSP00000287936,ENSP00000298552,ENSP00000302665,ENSP00000303830,ENSP00000304592,ENSP00000304895,ENSP00000307272,ENSP00000312189,ENSP00000312652,ENSP00000312987,ENSP00000319814,ENSP00000320709,ENSP00000340691,ENSP00000344789,ENSP00000346148,ENSP00000348069,ENSP00000354558,ENSP00000359380,ENSP00000364475,ENSP00000365016,ENSP00000368880,ENSP00000369960	ACACA,ADIPOQ,ADRA1A,AKT1,CCNA1,CCNA2,CCND1,CFTR,CPT1B,EIF4EBP1,FASN,FBP1,FOXO1,HMGCR,HNF4A,IGF1,IGF1R,INS,INSR,IRS1,IRS2,LEP,MTOR,PCK1,PIK3CA,PPARG,PRKAA1,RPS6KB1,RPTOR,SCD,SIRT1,SREBF1,TSC1,TSC2
05160	Hepatitis C	35	2.22e-17	ENSP00000162749,ENSP00000211287,ENSP00000216797,ENSP00000220849,ENSP00000226574,ENSP00000229794,ENSP00000244741,ENSP00000251849,ENSP00000261693,ENSP00000262735,ENSP00000263645,ENSP00000263967,ENSP00000264657,ENSP00000264818,ENSP00000265171,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000276927,ENSP00000288602,ENSP00000309845,ENSP00000324806,ENSP00000330341,ENSP00000339007,ENSP00000343957,ENSP00000347379,ENSP00000353483,ENSP00000354394,ENSP00000369213,ENSP00000369554,ENSP00000369581,ENSP00000384273,ENSP00000384675,ENSP00000387946,ENSP00000398698	AKT1,BRAF,CD81,CDKN1A,DDX58,EGF,EGFR,EIF3E,GRB2,GSK3B,HRAS,IFNA1,IFNA2,IFNAR2,IFNB1,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,NR1H3,OCLN,PIK3CA,PPARA,RAF1,RELA,SCARB1,SOCS3,SOS1,STAT1,STAT3,TNF,TNFRSF1A,TP53,TYK2
05212	Pancreatic cancer	25	2.75e-17	ENSP00000221930,ENSP00000226574,ENSP00000227507,ENSP00000251849,ENSP00000257904,ENSP00000262160,ENSP00000263967,ENSP00000264657,ENSP00000265171,ENSP00000265734,ENSP00000267163,ENSP00000269305,ENSP00000270202,ENSP00000275493,ENSP00000288602,ENSP00000295400,ENSP00000302564,ENSP00000314458,ENSP00000345571,ENSP00000348461,ENSP00000353483,ENSP00000354394,ENSP00000361125,ENSP00000384273,ENSP00000394932	AKT1,BCL2L1,BRAF,CCND1,CDC42,CDK4,CDK6,CDKN2A,E2F1,EGF,EGFR,MAPK8,NFKB1,PIK3CA,RAC1,RAF1,RB1,RELA,SMAD2,STAT1,STAT3,TGFA,TGFB1,TP53,VEGFA
04650	Natural killer cell mediated cytotoxicity	34	4.39e-17	ENSP00000216341,ENSP00000229135,ENSP00000234310,ENSP00000241261,ENSP00000251849,ENSP00000262629,ENSP00000263967,ENSP00000264832,ENSP00000276927,ENSP00000288602,ENSP00000290219,ENSP00000296871,ENSP00000305355,ENSP00000309845,ENSP00000311032,ENSP00000318822,ENSP00000339007,ENSP00000343957,ENSP00000348461,ENSP00000349252,ENSP00000354782,ENSP00000356694,ENSP00000356713,ENSP00000357012,ENSP00000365394,ENSP00000365402,ENSP00000369554,ENSP00000369581,ENSP00000378306,ENSP00000378323,ENSP00000378845,ENSP00000384675,ENSP00000398698,ENSP00000401303	BID,BRAF,CASP3,CD244,CD247,CSF2,FASLG,GRB2,GZMB,HLA-C,HRAS,ICAM1,IFNA1,IFNA2,IFNAR2,IFNB1,IFNG,IFNGR1,IFNGR2,ITGAL,LAT,MICA,PIK3CA,PPP3CA,PPP3CB,PPP3R1,PRKCB,RAC1,RAF1,SHC1,SOS1,TNF,TNFSF10,TYROBP
04620	Toll-like receptor signaling pathway	31	4.5e-17	ENSP00000211287,ENSP00000216797,ENSP00000225245,ENSP00000226574,ENSP00000229794,ENSP00000231228,ENSP00000258743,ENSP00000263056,ENSP00000263341,ENSP00000263967,ENSP00000264246,ENSP00000270202,ENSP00000276927,ENSP00000303231,ENSP00000304236,ENSP00000306245,ENSP00000332049,ENSP00000343957,ENSP00000348461,ENSP00000349770,ENSP00000351273,ENSP00000353483,ENSP00000354394,ENSP00000360266,ENSP00000361359,ENSP00000363089,ENSP00000369554,ENSP00000369581,ENSP00000378517,ENSP00000384273,ENSP00000398698	AKT1,CASP8,CCL3,CD14,CD40,CD80,CD86,FOS,IFNA1,IFNA2,IFNAR2,IFNB1,IL12A,IL12B,IL1B,IL6,IRF5,JUN,MAP3K8,MAPK13,MAPK14,MAPK8,NFKB1,NFKBIA,PIK3CA,RAC1,RELA,SPP1,STAT1,TLR4,TNF
04917	Prolactin signaling pathway	26	6.47e-17	ENSP00000206249,ENSP00000211287,ENSP00000226574,ENSP00000227507,ENSP00000229794,ENSP00000250971,ENSP00000251849,ENSP00000263967,ENSP00000264657,ENSP00000270202,ENSP00000306245,ENSP00000309845,ENSP00000323568,ENSP00000324806,ENSP00000329418,ENSP00000330341,ENSP00000339007,ENSP00000350941,ENSP00000353483,ENSP00000354394,ENSP00000358903,ENSP00000370571,ENSP00000371067,ENSP00000384273,ENSP00000384675,ENSP00000401303	AKT1,CCND1,CYP17A1,ESR1,FOS,GRB2,GSK3B,HRAS,INS,JAK2,MAPK13,MAPK14,MAPK8,NFKB1,PIK3CA,RAF1,RELA,SHC1,SLC2A2,SOCS1,SOCS3,SOS1,SRC,STAT1,STAT3,TH
04010	MAPK signaling pathway	48	9.38e-17	ENSP00000012443,ENSP00000162749,ENSP00000168712,ENSP00000211287,ENSP00000221930,ENSP00000226574,ENSP00000228862,ENSP00000229794,ENSP00000234310,ENSP00000248553,ENSP00000251849,ENSP00000252818,ENSP00000257290,ENSP00000263056,ENSP00000263341,ENSP00000264498,ENSP00000265171,ENSP00000267843,ENSP00000269305,ENSP00000270202,ENSP00000275364,ENSP00000275493,ENSP00000288602,ENSP00000294312,ENSP00000304236,ENSP00000305355,ENSP00000306245,ENSP00000309845,ENSP00000311032,ENSP00000314458,ENSP00000330382,ENSP00000330959,ENSP00000333896,ENSP00000334122,ENSP00000339007,ENSP00000348461,ENSP00000353483,ENSP00000356436,ENSP00000356694,ENSP00000360266,ENSP00000364802,ENSP00000368884,ENSP00000378306,ENSP00000378323,ENSP00000384273,ENSP00000384675,ENSP00000398698,ENSP00000410294	AKT1,BRAF,CASP3,CD14,CDC42,DUSP16,EGF,EGFR,FASLG,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FOS,GNA12,GRB2,HRAS,HSPA1A,HSPB1,IL1B,IL1R2,JUN,JUND,MAP3K8,MAPK13,MAPK14,MAPK8,NFKB1,PDGFB,PDGFRA,PLA2G4A,PPP3CA,PPP3CB,PPP3R1,PPP5C,PRKCB,RAC1,RAF1,RELA,RPS6KA3,RPS6KA4,SOS1,TGFB1,TNF,TNFRSF1A,TP53
04062	Chemokine signaling pathway	40	1.38e-16	ENSP00000216797,ENSP00000225245,ENSP00000225831,ENSP00000226574,ENSP00000228307,ENSP00000251849,ENSP00000260600,ENSP00000263967,ENSP00000264657,ENSP00000270202,ENSP00000288602,ENSP00000292174,ENSP00000292301,ENSP00000292303,ENSP00000295683,ENSP00000296140,ENSP00000300873,ENSP00000305355,ENSP00000309845,ENSP00000314458,ENSP00000319635,ENSP00000324806,ENSP00000332659,ENSP00000339007,ENSP00000339393,ENSP00000341189,ENSP00000348461,ENSP00000350941,ENSP00000351671,ENSP00000354394,ENSP00000367832,ENSP00000371067,ENSP00000376609,ENSP00000379140,ENSP00000384273,ENSP00000384675,ENSP00000391669,ENSP00000400175,ENSP00000401303,ENSP00000427279	ADCY3,AKT1,BCAR1,BRAF,CCL2,CCL20,CCL3,CCL7,CCR1,CCR2,CCR4,CCR5,CCR6,CDC42,CXCL12,CXCL2,CXCR1,CXCR2,CXCR5,GNG8,GRB2,GRK5,GSK3B,HRAS,JAK2,NFKB1,NFKBIA,PIK3CA,PRKCB,PTK2,PXN,RAC1,RAF1,RELA,RHOA,SHC1,SOS1,SRC,STAT1,STAT3
04014	Ras signaling pathway	44	2.89e-16	ENSP00000168712,ENSP00000222390,ENSP00000226574,ENSP00000250971,ENSP00000251849,ENSP00000257290,ENSP00000260766,ENSP00000263967,ENSP00000264498,ENSP00000265171,ENSP00000267843,ENSP00000268035,ENSP00000270202,ENSP00000275493,ENSP00000282397,ENSP00000288135,ENSP00000294312,ENSP00000300873,ENSP00000302564,ENSP00000302665,ENSP00000303830,ENSP00000305355,ENSP00000309845,ENSP00000314458,ENSP00000317272,ENSP00000323178,ENSP00000330382,ENSP00000332549,ENSP00000334122,ENSP00000339007,ENSP00000348461,ENSP00000349547,ENSP00000353483,ENSP00000356436,ENSP00000356694,ENSP00000361125,ENSP00000361423,ENSP00000376436,ENSP00000378845,ENSP00000384273,ENSP00000384675,ENSP00000400175,ENSP00000401303,ENSP00000410294	ABL1,AKT1,BCL2L1,CDC42,EGF,EGFR,ETS1,FASLG,FGF19,FGF2,FGF3,FGF4,FGF7,FGFR2,FLT1,GNG8,GRB2,GRIN2A,HGF,HRAS,IGF1,IGF1R,INS,INSR,KIT,KSR1,LAT,MAPK8,MET,NFKB1,PDGFB,PDGFRA,PIK3CA,PLA2G4A,PLCE1,PRKCB,RAC1,RAF1,RASSF1,RELA,RHOA,SHC1,SOS1,VEGFA
