node1,node2,combined_score
MMP14,TIMP2,0.999
MTOR,IRS1,0.999
ABCC8,KCNJ11,0.999
JUN,EGR1,0.999
HEY2,NOTCH1,0.999
BCL2,BAX,0.999
PEX14,PEX13,0.999
CDKN1B,CCND1,0.999
CDKN2A,CDKN1A,0.999
ATG16L1,ATG5,0.999
MTOR,STAT3,0.999
MAPK8,JUND,0.999
IKBKG,NFKBIA,0.999
TP53,MAPK14,0.999
KRAS,RAF1,0.999
PRKAA1,TSC2,0.999
JAK2,STAT1,0.999
MAPK8,IRS1,0.999
AKT1,TSC2,0.999
BRAF,RAF1,0.999
MYC,MED1,0.999
AGT,ACE,0.999
PEX10,PEX12,0.999
TCF4,CTNNB1,0.999
CASP8,TNFSF10,0.999
CD40,BIRC3,0.999
PARP1,CASP3,0.999
SDHC,SDHA,0.999
BRCA1,BRCA2,0.999
SLIT2,ROBO2,0.999
EGFR,ERBB3,0.999
CASP3,BIRC3,0.999
TERT,AKT1,0.999
CD86,CTLA4,0.999
JUN,JDP2,0.999
COPS5,CDKN1B,0.999
SOCS1,IRS1,0.999
CTNNB1,CDH1,0.999
GH1,GHR,0.999
VTN,SERPINE1,0.998
BCL2,AKT1,0.998
RELA,COMMD1,0.998
CUL2,COMMD1,0.998
MYC,BCL2,0.998
MC1R,POMC,0.998
MTTP,APOB,0.998
NRG1,EGFR,0.998
EDNRB,EDN3,0.998
TYK2,STAT3,0.998
STAT3,PDGFRB,0.998
EGFR,EREG,0.998
IGF2,IGF1R,0.998
PEX19,PEX10,0.998
STAT1,PDGFRB,0.998
TNK2,EGFR,0.998
AKT1,RAF1,0.998
TP53,TP63,0.998
RAC1,TRIO,0.998
BCL2L1,AKT1,0.998
PEX6,PEX1,0.998
MYC,TP53,0.998
CDH1,SNAI1,0.998
IRS1,INS,0.998
IGF2,IGFBP2,0.998
CDH1,SNAI2,0.998
GSK3B,TSC2,0.998
JUN,ESR1,0.998
GNAS,PTGIR,0.998
AR,CCND1,0.998
PARP1,TP53,0.998
MCL1,TP53,0.998
RAC1,PTK2,0.998
CCS,SOD1,0.998
IGF1,IGFBP2,0.998
BIRC3,NFKB1,0.998
TP53,SMAD2,0.998
GDNF,RET,0.998
BIRC3,TNFRSF1A,0.998
SRC,ERBB2,0.998
SRC,KDR,0.998
RPS6,RPS6KA3,0.998
MCL1,BID,0.998
ATF3,TP53,0.998
EGFR,HBEGF,0.998
DPYD,UMPS,0.998
MMP2,TIMP1,0.998
ATF3,SMAD3,0.998
ABL1,CTNNB1,0.998
SMAD4,HNF4A,0.998
PEX19,PEX14,0.998
AGT,AGTR1,0.998
MYC,SMAD3,0.998
ARID1B,ARID1A,0.998
STAT1,SRC,0.998
NOTCH1,HES1,0.998
ERBB2,STAT3,0.998
TRIM24,ESR1,0.998
LDLR,SREBF2,0.998
LEP,STAT3,0.998
SLC2A1,HIF1A,0.998
PEX26,PEX6,0.998
CD44,SPP1,0.998
PRKAA1,ACACA,0.998
AKT1,ESR1,0.998
RAC1,CDH1,0.998
STAT1,KIT,0.998
KRT18,KRT8,0.998
RAC1,STAT3,0.998
PTEN,JUN,0.998
MYC,SMAD2,0.998
STAT6,TYK2,0.998
CCR1,CCL5,0.998
PDGFB,PDGFRA,0.998
GCKR,GCK,0.998
WWOX,TP53,0.998
VCAM1,ICAM1,0.998
CASP8,CASP3,0.998
PTK2,TP53,0.998
SRC,HRAS,0.998
SST,SSTR1,0.998
TP53,RB1,0.998
MMP9,PLG,0.998
FOSL2,JUND,0.998
MAPK8,CDKN1A,0.998
IGFBP1,INS,0.997
SOCS3,STAT3,0.997
PIK3CA,KRAS,0.997
SRC,PDGFRB,0.997
YBX1,TP53,0.997
EGFR,ESR1,0.997
IRS2,PIK3CA,0.997
RAC1,MAPK14,0.997
BIRC3,RIPK2,0.997
BRCA1,MYC,0.997
BCL2L11,MAPK8,0.997
PLAU,SERPINB2,0.997
TJP2,OCLN,0.997
NLRP3,PYCARD,0.997
EGFR,TP53,0.997
LPL,APOE,0.997
EHMT2,PRDM1,0.997
FASLG,CFLAR,0.997
MUC1,EGFR,0.997
NFE2L2,HMOX1,0.997
NOS3,ESR1,0.997
GSTP1,MAPK8,0.997
SERPINC1,PLG,0.997
IL13,IL4,0.997
HIF1A,FLT1,0.997
MLH3,MSH2,0.997
POMC,PDYN,0.997
MMP14,TIMP1,0.997
NOS3,KNG1,0.997
PTGS2,TP53,0.997
ICAM1,NFKB1,0.997
JUN,TP53,0.997
CCR1,CCL3,0.997
ACACA,FASN,0.997
AKT1,INS,0.997
PEX2,PEX10,0.997
CTNNB1,MET,0.997
STAT3,IL6,0.997
HRAS,PLCE1,0.997
CYCS,BCL2L1,0.997
MLH3,MSH6,0.997
CTNNB1,NOTCH1,0.997
SMAD3,HNF4A,0.997
FASLG,BID,0.997
SMAD4,CDKN1A,0.997
BCAR1,ESR1,0.997
TP53,EGR1,0.997
STK11,CDC37,0.997
MMP1,TIMP1,0.997
FAS,BID,0.997
SOCS1,TYK2,0.997
STAT6,IL4,0.997
MTHFR,MTR,0.997
LDLR,APOE,0.997
COL4A1,COL4A2,0.997
MET,CDH1,0.997
IKBKG,ATM,0.997
PEX19,PEX16,0.997
CCNA1,CDKN1B,0.997
LPL,APOB,0.997
JUN,CDKN1A,0.997
APOE,APOB,0.997
MYC,JUN,0.997
HIF1A,AKT1,0.997
MMP9,THBS1,0.997
CEBPB,NFKB1,0.997
MYC,DNMT3A,0.997
ADAM17,TIMP3,0.997
IL1R2,IL1B,0.997
AR,SIRT1,0.996
JUN,CCND1,0.996
MYC,AXIN1,0.996
IQGAP1,KDR,0.996
RELA,CEBPB,0.996
AKT1,HSPB1,0.996
HIC1,SIRT1,0.996
LEP,PPARG,0.996
GADD45A,TP53,0.996
STAT1,SOCS1,0.996
ERBB4,ERBB2,0.996
GCG,LEP,0.996
MMP9,JUN,0.996
NOTCH1,TP53,0.996
PKM,ENO1,0.996
IRS1,AKT1,0.996
RELA,STAT3,0.996
SRC,IQGAP1,0.996
HRAS,ERBB2,0.996
FOS,TP53,0.996
CTNNB1,HNF4A,0.996
IL1R2,IL1RAP,0.996
MAPK8,BCL2L1,0.996
E2F1,CCNA1,0.996
STAT1,SOCS3,0.996
BRCA2,ATM,0.996
MYC,AKT1,0.996
CSF2,IL3,0.996
IGF1,INS,0.996
CDKN2A,RB1,0.996
BCL2,BCL2L1,0.996
IL6,NFKB1,0.996
MED1,RARA,0.996
IGF1R,INS,0.996
STAT1,FOS,0.996
CASP3,GZMB,0.996
DNMT3B,DNMT3A,0.996
SRC,CTNNB1,0.996
IL1B,NFKB1,0.996
MTOR,TERT,0.996
IQGAP1,CDH1,0.996
MED1,PPARA,0.996
CXCL1,CXCR1,0.996
MYC,CDKN1A,0.996
IL8,NFKB1,0.996
GSTM1,GSTT1,0.996
CD14,LBP,0.996
GADD45A,CDKN1A,0.996
PDGFRB,PDGFRA,0.996
MYC,CDKN1B,0.996
BBC3,BCL2,0.996
LPL,PPARA,0.996
RUNX3,SMAD3,0.996
JUN,STAT4,0.996
BMP7,FST,0.995
SRC,GRIN2A,0.995
MYC,CCND1,0.995
SMAD4,SERPINE1,0.995
PSMB10,PSMA4,0.995
CEBPB,IL6,0.995
CTNNB1,SMAD4,0.995
MYC,CFLAR,0.995
COPS5,HIF1A,0.995
ETS1,HRAS,0.995
RELA,IL2,0.995
PHB,TP53,0.995
CFLAR,RIPK2,0.995
MYC,STAT3,0.995
CPOX,UROD,0.995
TNFRSF1B,TNFRSF1A,0.995
IL6,OSM,0.995
IL4,IL2,0.995
AR,ZMIZ1,0.995
MTOR,TSC1,0.995
STAT1,MAPK14,0.995
CASP8,BCL2,0.995
FECH,PPOX,0.995
NRG1,ERBB2,0.995
STAT1,IFNG,0.995
AR,EGFR,0.995
LTA,TNFRSF1A,0.995
NFE2L2,JUN,0.995
SRC,EFNB2,0.995
CPS1,UMPS,0.995
DHCR7,SC5DL,0.995
MYC,NOTCH1,0.995
TP53,SNAI2,0.995
PRKDC,MSH6,0.995
PARK7,SNCA,0.995
IRS1,IGF1,0.995
PTEN,MTOR,0.995
CD44,ERBB2,0.995
LEP,IRS1,0.995
SOCS3,GHR,0.995
SOCS3,TYK2,0.995
ADIPOQ,PPARG,0.995
JUN,MMP2,0.995
RPS6,MTOR,0.995
JUN,IL6,0.995
SOCS3,LEP,0.995
PRKAA1,STK11,0.995
ERBB4,HBEGF,0.995
PGK1,PKM,0.995
TPM4,TPM1,0.995
NOTCH3,JAG1,0.995
TP53,MLH1,0.995
CXCL2,CXCR2,0.995
CCL5,CCL2,0.995
IL5,IL4,0.995
F2,FGA,0.995
PDX1,INS,0.995
JAK2,IL3,0.995
FGF2,GPC1,0.995
IRS2,INS,0.995
CD44,MMP9,0.995
CTNNB1,IQGAP1,0.995
CD40,NFKB1,0.994
BCAR1,TNK2,0.994
GHRL,GHSR,0.994
SOCS1,STAT6,0.994
HSPB1,MAPK14,0.994
SDHAF2,SDHA,0.994
CHD8,CTNNB1,0.994
STAT1,IL6,0.994
PEX13,PEX12,0.994
AHR,ESR1,0.994
HIF1A,PKM,0.994
CCR5,CCL2,0.994
F5,SERPINC1,0.994
DDIT3,MAPK14,0.994
CASP8,BID,0.994
CYP17A1,POMC,0.994
JAK2,EPO,0.994
COPS5,SMAD4,0.994
GCG,INS,0.994
FOS,CCND1,0.994
BRCA2,XRCC3,0.994
CXCL12,IL8,0.994
PRKCA,RAC1,0.994
LEP,IL6,0.994
XBP1,ESR1,0.994
COMMD1,ATP7B,0.994
AR,AKT1,0.994
KRT8,MAPK14,0.994
E2F1,CCNE1,0.994
RAC1,NFKB1,0.994
RAC1,NME1,0.994
TNF,IFNG,0.994
MCL1,AKT1,0.994
MMP9,NFKB1,0.994
RPS6KA3,TSC2,0.994
JAK2,IL6,0.994
NOTCH1,CDKN1A,0.994
STAT3,CDKN1A,0.994
FOS,IL6,0.994
KSR1,BRAF,0.994
MMP9,TIMP2,0.994
SRC,NFKBIA,0.994
JAK2,LEP,0.994
JAK2,LEPR,0.994
WT1,TP53,0.994
CEBPA,JUN,0.994
CSF2,IL4,0.994
RELA,PPARA,0.994
KSR1,RAF1,0.994
PEX2,PEX12,0.994
DDX58,CYLD,0.994
SMAD3,SERPINE1,0.994
PTGS2,PLA2G4A,0.994
CXCL12,CCR4,0.994
RELA,JUN,0.994
SOCS3,IL6,0.994
SMAD3,AXIN1,0.994
MAPK8,HRAS,0.994
ADAM17,EGFR,0.994
GSTP1,GSTT1,0.993
PTEN,STK11,0.993
IL2,GZMB,0.993
EDN1,JUN,0.993
MEN1,SMAD3,0.993
THEM4,AKT1,0.993
AVP,EDN1,0.993
IL17A,STAT3,0.993
TGFBR2,SMAD3,0.993
VEGFA,IGF1,0.993
HNF4A,NR0B2,0.993
SMAD4,CDH1,0.993
PPARG,ESR1,0.993
MYC,TERT,0.993
PEX13,PEX10,0.993
JAK2,IL23R,0.993
TP53,HSPB1,0.993
THBS1,MMP2,0.993
MAPK8,STAT3,0.993
PTK2,ERBB2,0.993
IGF1,TGFB1,0.993
IL8,CEBPB,0.993
JUN,HMOX1,0.993
NDRG1,TP53,0.993
IL22,STAT3,0.993
JUN,IL8,0.993
ATRX,DAXX,0.993
ETS1,MMP1,0.993
RPS6KA4,MAPK14,0.993
JAK2,IL4,0.993
MYC,NFKB1,0.993
SRC,MET,0.993
NOTCH1,AKT1,0.993
JUN,MMP1,0.993
ALB,SERPINE1,0.993
VEGFA,TGFB1,0.993
PRKCD,STAT3,0.993
TGFA,ERBB2,0.993
TGFB1,TIMP1,0.993
BCAR1,ABL1,0.993
IL17A,IL6,0.993
ABL1,SRC,0.993
IRS2,IGF1,0.993
ABL1,JUN,0.993
JAK2,CSF2,0.993
EDN1,FOS,0.993
MYC,BIRC5,0.993
TP53,MMP2,0.993
SFN,TSC2,0.993
MMP9,SRC,0.993
JAK2,FOS,0.993
MTOR,STAT1,0.993
MAPK8,DUSP16,0.993
IL18,IL1B,0.993
JUN,IL2,0.993
JAK2,IFNGR1,0.993
IL1B,IL1A,0.993
CTNNB1,MEN1,0.993
ERBB4,EGF,0.993
EDN1,AKT1,0.993
SERPINE1,TGFB1,0.993
RB1,MAPK14,0.993
FOS,IL2,0.993
XIAP,RIPK2,0.993
CTNNB1,SMAD3,0.993
TNFRSF10B,TNFRSF10A,0.993
JUN,NOS3,0.993
VEGFA,SRC,0.993
E2F1,CCND1,0.993
CDKN1A,CDKN1B,0.993
ACTB,IQGAP1,0.993
CDKN2A,E2F1,0.993
FGF2,KDR,0.993
SOCS1,STAT3,0.993
NR0B2,NR1H2,0.993
RET,STAT3,0.992
IL8,EGFR,0.992
SRC,AKT1,0.992
MAF,FOS,0.992
TRPV1,CNR1,0.992
IL3,IL5,0.992
PRKCA,BRAF,0.992
CDKN2A,CDKN1B,0.992
TP53,TNFRSF10A,0.992
E2F1,ATM,0.992
HRAS,ERBB3,0.992
MYC,GADD45A,0.992
HIF1A,HMOX1,0.992
MMP1,FOS,0.992
CASP3,CDKN1A,0.992
MYC,IL2,0.992
SMAD4,SNAI1,0.992
BLVRA,HMOX1,0.992
IRS2,SOCS1,0.992
PTK2,STAT3,0.992
JUN,CTNNB1,0.992
AR,STAT3,0.992
TGFB1,MMP2,0.992
CSF2,IL2,0.992
E2F1,SIRT1,0.992
PGK1,ENO1,0.992
CCL20,CCR6,0.992
XIAP,BIRC5,0.992
STAT1,PTPN2,0.992
LEPR,STAT3,0.992
ICOSLG,ICOS,0.992
SMAD3,SNAI1,0.992
SMAD4,CEBPB,0.992
CASP8,TNFRSF1A,0.992
NOTCH1,CCND1,0.992
IL8,FOS,0.992
GSK3B,ILK,0.992
IRS2,MAPK8,0.992
RB1,CCNA1,0.992
STAT4,IL12RB2,0.992
ERBB2,ESR1,0.992
EGFR,FGF2,0.992
MMP9,TGFB1,0.992
PEX5,PEX10,0.992
HRAS,TP53,0.992
FGFR2,FGF13,0.992
FASLG,MAPK8,0.992
FOXA1,ESR1,0.992
SRC,MMP2,0.992
FOS,IL3,0.992
CASP3,CDH1,0.991
VEGFA,MMP2,0.991
PRKCD,IRS1,0.991
RRM2,TYMS,0.991
JUN,HIF1A,0.991
CEBPD,STAT3,0.991
GHRL,LEP,0.991
PRKCA,EGFR,0.991
MMP9,VEGFA,0.991
ERBB4,ERBB3,0.991
IL18,IL18R1,0.991
IL1R2,IL1A,0.991
FOS,ESR1,0.991
PRKCA,RARA,0.991
APOE,APOA1,0.991
VEGFA,EGFR,0.991
RAC1,ELMO1,0.991
IL10,IL10RB,0.991
IL8,CCL5,0.991
SSTR3,SST,0.991
RAC1,CCND1,0.991
RELA,ESR1,0.991
RAC1,CTNNB1,0.991
DDIT3,BCL2,0.991
ERBB4,EGFR,0.991
PPARG,TGFB1,0.991
HIF1A,NOS3,0.991
SMAD3,TP53,0.991
CSF2,STAT3,0.991
SC5DL,FDFT1,0.991
IL5,IL2,0.991
JUN,STAT3,0.991
FOS,CSF2,0.991
RELA,MYC,0.991
TGFBR2,SMAD4,0.991
HSD17B4,ACOX1,0.991
IL11,IL6,0.991
DPYD,TYMP,0.99
MAF,IL4,0.99
FOS,IL4,0.99
SRC,F2,0.99
CDKN2A,ABL1,0.99
CYP1A1,GSTM1,0.99
RPS6,AKT1,0.99
KNG1,SERPINE1,0.99
SMAD3,CDKN1A,0.99
FOS,CDKN1B,0.99
TP53,GDF15,0.99
BCL2,CASP3,0.99
TNFRSF10B,TP53,0.99
HIC1,TP53,0.99
RELA,BIRC3,0.99
PRNP,BCL2,0.99
CD86,CD80,0.99
TP53,ABCB1,0.99
XIAP,AKT1,0.99
PEX2,PEX14,0.99
IL12RB1,IL12RB2,0.99
AFP,TP53,0.99
TP53,SERPINE1,0.99
AGT,FOS,0.99
PLIN2,PPARA,0.99
ACE,REN,0.99
VEGFA,PLG,0.99
TAC1,KNG1,0.99
PTEN,FOS,0.99
ERBB2,IL6,0.99
BCL2,CYCS,0.99
TP53,DAXX,0.99
SKP2,CCNE1,0.99
ABL1,CCND1,0.99
VEGFA,ARNT,0.99
RAC1,ERBB2,0.99
PIK3CA,ESR1,0.99
CYP17A1,HSD3B2,0.99
EDN1,EGFR,0.99
SMAD4,CCND1,0.99
TNF,ICAM1,0.99
STAT1,IL2,0.99
STAT1,IFNAR2,0.99
INHBE,FST,0.99
GSTA2,NFE2L2,0.99
IGF2,GPC3,0.99
CXCL12,HIF1A,0.99
CSF2,NFKB1,0.99
PTEN,PARK7,0.99
EDN1,PPARA,0.99
JAK2,SH2B3,0.989
MBTPS1,SPHK1,0.989
SRC,VCAM1,0.989
MMP9,TIMP3,0.989
IL1B,MAPK14,0.989
JUN,RB1,0.989
EGFR,FGF7,0.989
NOTCH1,EGFR,0.989
SMAD3,ESR1,0.989
INS,GCK,0.989
CYP1A1,GSTT1,0.989
BIRC3,NFKBIA,0.989
MYC,PDGFRB,0.989
PCK1,PPARG,0.989
IGF2,VEGFA,0.989
STAT3,TIMP1,0.989
TPM1,ACTA2,0.989
LEPR,LEP,0.989
IDH1,ACO2,0.989
SLC9A1,MAPK14,0.989
IRS1,IL4,0.989
SMAD4,AKT1,0.989
AGT,KNG1,0.989
HIF1A,SERPINE1,0.989
ERBB4,NOTCH1,0.989
BIRC5,BIRC3,0.989
STAT1,IL22,0.989
EGFR,INS,0.989
CYP1A1,AHR,0.989
HIF1A,EPO,0.989
HEY1,KDR,0.989
JUN,CCL2,0.989
JUN,PTGS2,0.989
HNF4A,APOA1,0.989
MAPK14,HMOX1,0.989
BCL2L11,JUN,0.989
EDN1,MAPK14,0.989
SRC,HGF,0.989
IGF1R,CDH1,0.989
CFLAR,BCL2L1,0.989
BTG2,TP53,0.989
TP53,TIMP3,0.989
SOCS1,IL4,0.989
MTOR,SREBF1,0.989
EDN1,HIF1A,0.989
SFN,RAF1,0.989
MMP9,HBEGF,0.989
NRP1,SEMA3C,0.989
ALAD,HMBS,0.989
FOS,MAPK14,0.989
FOXM1,BIRC5,0.989
TGFBR2,SMAD2,0.988
IGF1R,STAT3,0.988
EDN1,SLC9A3,0.988
HEY1,NOTCH2,0.988
EGFR,PIK3CA,0.988
TSLP,IL7R,0.988
MAPK8,IL2,0.988
CHP1,SLC9A3,0.988
SMAD3,AKT1,0.988
MTOR,TP53,0.988
VEGFA,ERBB2,0.988
TSPO,ALB,0.988
XIAP,RAF1,0.988
PPOX,CPOX,0.988
JUN,SIRT1,0.988
PGK1,GAPDH,0.988
VEGFA,VEGFB,0.988
IGF1,CDH1,0.988
MTOR,HIF1A,0.988
JUN,IL5,0.988
NOTCH1,SKP2,0.988
JUN,BCL2,0.988
PEX14,PEX12,0.988
CUL2,COPS5,0.988
AR,TP53,0.988
FGF2,PDGFRB,0.988
ARNT,AKT1,0.988
BCL2,KRAS,0.988
PPARG,IL4,0.988
CXCL12,JAK2,0.988
ALOX5AP,ALOX5,0.988
FOS,CCL2,0.988
PLA2G4A,MAPK14,0.988
SOCS1,IL2,0.988
AGT,PPARA,0.988
ADIPOQ,LEP,0.988
E2F1,SKP2,0.988
RELA,SOCS1,0.988
ABL1,TP53,0.988
MTR,MTRR,0.988
PLG,KNG1,0.988
FGF13,EGFR,0.988
CFLAR,TP53,0.988
EDNRB,AGT,0.988
LEP,INS,0.988
JUN,FASLG,0.988
MYC,ID2,0.987
MYC,ESR1,0.987
SOCS3,IL2,0.987
JAK2,KIT,0.987
HMGCR,MVK,0.987
SLIT2,GPC1,0.987
MYC,CTNNB1,0.987
JUN,SMAD4,0.987
JUN,RAC1,0.987
CCL7,CCR1,0.987
CDKN2A,SMAD4,0.987
SOCS3,EPO,0.987
ITGAM,PTPRC,0.987
CTLA4,AKT1,0.987
SREBF2,HMGCR,0.987
GCG,SST,0.987
MMP1,TIMP2,0.987
IL12RB1,IL12B,0.987
MYC,STK11,0.987
RAC1,CHN2,0.987
RASSF1,HRAS,0.987
JAK2,IRS2,0.987
IRS2,IL4,0.987
MUC2,MUC1,0.987
AR,MAPK8,0.987
EGFR,AREG,0.987
FGF13,GPC1,0.987
CDK14,CDKN1A,0.987
HRAS,LGALS3,0.987
IGF1,EGFR,0.987
HIF1A,SMAD3,0.987
JUN,STAT1,0.987
SRC,PRKCD,0.987
