disease,diseaseClass,genes
ADIPONECTIN-SERUM LEVEL OF-QUANTITATIVE TRAIT LOCUS 3,Nutritional and Metabolic ; Pathological Conditions,ADIPOQ
Coronary Restenosis,Cardiovascular ,ADIPOQ
Diabetes-Gestational,Female Urogenital; Nutritional and Metabolic ; Endocrine System ,ADIPOQ
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,ADIPOQ
Heroin Dependence,Substance-Related Disorders; Mental Disorders,ADIPOQ
Hyperemia,Cardiovascular ,ADIPOQ
Hypertension,Cardiovascular ,ADIPOQ
Inflammation,Pathological Conditions,ADIPOQ
Liver Cirrhosis-Experimental,Digestive System ,ADIPOQ
Metabolic Syndrome X,Nutritional and Metabolic ,ADIPOQ
Myocardial Ischemia,Cardiovascular ,ADIPOQ
Myocardial Reperfusion Injury,Cardiovascular ; Pathological Conditions,ADIPOQ
NAFLD,Unclassified,ADIPOQ
Obesity,Nutritional and Metabolic ; Pathological Conditions,ADIPOQ
Weight Gain,Pathological Conditions,ADIPOQ
Weight Loss,Pathological Conditions,ADIPOQ
Insulin Resistance,Nutritional and Metabolic ,ADIPOQ
Glucose Intolerance,Nutritional and Metabolic ,ADIPOQ
Obesity-Morbid,Nutritional and Metabolic ; Pathological Conditions,ADIPOQ
Diabetes Complications,Endocrine System ,ADIPOQ
Coronary Artery Disease,Cardiovascular ,ADIPOQ
Diabetic Angiopathies,Cardiovascular ; Endocrine System ,ADIPOQ
Metabolic Diseases,Nutritional and Metabolic ,ADIPOQ
Hyperlipidemias,Nutritional and Metabolic ,ADIPOQ
Cardiovascular Diseases,Cardiovascular ,ADIPOQ
Coronary Disease,Cardiovascular ,ADIPOQ
Coronary Stenosis,Cardiovascular ,ADIPOQ
Hyperglycemia,Nutritional and Metabolic ,ADIPOQ
Overweight,Pathological Conditions,ADIPOQ
Disease Progression,Pathological Conditions,ADIPOQ
Stroke,Nervous System ; Cardiovascular ,ADIPOQ
Myocardial Infarction,Cardiovascular ,ADIPOQ
Ischemia,Pathological Conditions,ADIPOQ
Hypercholesterolemia,Nutritional and Metabolic ,ADIPOQ
Diabetic Nephropathies,Urogenital; Endocrine System ,ADIPOQ
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,ADIPOQ
Carotid Artery Diseases,Nervous System ; Cardiovascular ,ADIPOQ
Pre-Eclampsia,Female Urogenital,ADIPOQ
Glucose Metabolism Disorders,Nutritional and Metabolic ,ADIPOQ
Lung Neoplasms, Respiratory Tract ,ADIPOQ
Vascular Diseases,Cardiovascular ,ADIPOQ
Prostatic Neoplasms, Male Urogenital ,ADIPOQ
Stomach Neoplasms, Digestive System ,ADIPOQ
Colorectal Neoplasms, Digestive System ,ADIPOQ
Breast Neoplasms, Skin and Connective Tissue ,ADIPOQ
Neoplasms,Neoplasms,ADIPOQ
Adenocarcinoma,Neoplasms,ADIPOQ
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,ADIPOQ
Infection,Bacterial Infections and Mycoses,ADIPOQ
Prader-Willi Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ADIPOQ
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,ADIPOQ
Endometrial Neoplasms, Female Urogenital,ADIPOQ
Endometriosis,Female Urogenital,ADIPOQ
Leukemia-Myeloid-Acute,Neoplasms,ADIPOQ
Hyperuricemia,Pathological Conditions,ADIPOQ
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,ADIPOQ
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,ADIPOQ
Carcinoma-Renal Cell, Urogenital,ADIPOQ
Atherosclerosis,Cardiovascular ,ADIPOQ
Behcet Syndrome,Stomatognathic ; Eye ; Cardiovascular ; Skin and Connective Tissue ,ADIPOQ
Hyperlipidemia-Familial Combined,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ADIPOQ
Hyperlipoproteinemia Type II,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,ADIPOQ
Osteoarthritis,Musculoskeletal ,ADIPOQ
Liver Diseases,Digestive System ,ADIPOQ
Sjogren's Syndrome,Musculoskeletal ; Stomatognathic ; Eye ; Skin and Connective Tissue ; Immune System ,ADIPOQ
Pancreatitis-Chronic,Digestive System ,ADIPOQ
Hepatitis C-Chronic,Virus ; Digestive System ,ADIPOQ
Joint Diseases,Musculoskeletal ,ADIPOQ
Kidney Failure-Chronic,Urogenital,ADIPOQ
Anorexia Nervosa,Mental Disorders,ADIPOQ
Bulimia Nervosa,Mental Disorders,ADIPOQ
Graves Disease,Eye ; Endocrine System ; Immune System ,ADIPOQ
Dyslipidemias,Nutritional and Metabolic ,ADIPOQ
Fatty Liver,Digestive System ,ADIPOQ
Lipodystrophy,Skin and Connective Tissue ; Nutritional and Metabolic ,ADIPOQ
Liver Cirrhosis,Digestive System ,ADIPOQ
Proteinuria,Urogenital; Pathological Conditions,ADIPOQ
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,ADIPOQ
Kidney Diseases,Urogenital,ADIPOQ
Aortic Aneurysm-Abdominal,Cardiovascular ,ADIPOQ
Renal Insufficiency,Urogenital,ADIPOQ
Hypoglycemia,Nutritional and Metabolic ,ADIPOQ
HIV-Associated Lipodystrophy Syndrome,Virus ; Skin and Connective Tissue ; Nutritional and Metabolic ; Immune System ,ADIPOQ
Chest Pain,Pathological Conditions,ADIPOQ
Angina Pectoris,Cardiovascular ; Pathological Conditions,ADIPOQ
Arteriosclerosis Obliterans,Cardiovascular ,ADIPOQ
Hypoalbuminemia,Hemic and Lymphatic ,ADIPOQ
Headache Disorders,Nervous System ,ADIPOQ
Angina Pectoris-Variant,Cardiovascular ; Pathological Conditions,ADIPOQ
Breast Neoplasms, Skin and Connective Tissue ,AKT2
Carcinoma-Squamous Cell,Neoplasms,AKT2
Prostatic Neoplasms, Male Urogenital ,AKT2
Neoplasms,Neoplasms,AKT2
Adenocarcinoma,Neoplasms,AKT2
Pancreatic Neoplasms, Digestive System ; Endocrine System ,AKT2
Carcinoma-Hepatocellular, Digestive System ,AKT2
Glioma,Neoplasms,AKT2
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,AKT2
Ovarian Neoplasms, Female Urogenital; Endocrine System ,AKT2
Hyperglycemia,Nutritional and Metabolic ,AKT2
Metabolic Diseases,Nutritional and Metabolic ,AKT2
Obesity,Nutritional and Metabolic ; Pathological Conditions,CAPN10
Insulin Resistance,Nutritional and Metabolic ,CAPN10
Polycystic Ovary Syndrome, Female Urogenital; Endocrine System ,CAPN10
Arteriosclerosis,Cardiovascular ,CAPN10
Prediabetic State,Nutritional and Metabolic ; Endocrine System ,CAPN10
Hypertension,Cardiovascular ,CAPN10
Genetic Diseases-Inborn,Congenital-Hereditary-and Neonatal  and Abnormalities,CAPN10
Hyperglycemia,Nutritional and Metabolic ,CAPN10
Hirsutism,Skin and Connective Tissue ; Pathological Conditions,CAPN10
Laryngeal Neoplasms, Respiratory Tract ; Otorhinolaryngologic ,CAPN10
Cystic Fibrosis,Digestive System ; Respiratory Tract ; Congenital-Hereditary-and Neonatal  and Abnormalities,CAPN10
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,CAPN10
Metabolic Syndrome X,Nutritional and Metabolic ,CAPN10
Carcinoma,Neoplasms,CAPN10
Colorectal Neoplasms, Digestive System ,CAPN10
Cardiovascular Diseases,Cardiovascular ,CAPN10
Atherosclerosis,Cardiovascular ,CAPN10
Acatalasia,Congenital-Hereditary-and Neonatal  and Abnormalities; Nutritional and Metabolic ,CAT
Asthma,Respiratory Tract ; Immune System ,CAT
Autistic Disorder,Mental Disorders,CAT
Brain Ischemia,Nervous System ; Cardiovascular ,CAT
Cardiomyopathies,Cardiovascular ,CAT
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,CAT
Diabetes Mellitus-Type 1,Nutritional and Metabolic ; Endocrine System ; Immune System ,CAT
Dyskinesia-Drug-Induced,Nervous System ; Substance-Related Disorders,CAT
Hepatitis,Digestive System ,CAT
Hyperemia,Cardiovascular ,CAT
Hypertension,Cardiovascular ,CAT
Keratosis,Skin and Connective Tissue ,CAT
Kidney Failure-Chronic,Urogenital,CAT
Necrosis,Pathological Conditions,CAT
Osteoporosis-Postmenopausal,Musculoskeletal ,CAT
Phobic Disorders,Mental Disorders,CAT
Precancerous Conditions,Neoplasms,CAT
Pulmonary Embolism,Respiratory Tract ; Cardiovascular ,CAT
Seizures,Nervous System ; Pathological Conditions,CAT
Status Epilepticus,Nervous System ,CAT
Diabetic Nephropathies,Urogenital; Endocrine System ,CAT
Pancreatitis,Digestive System ,CAT
Acute Disease,Pathological Conditions,CAT
Vitiligo,Skin and Connective Tissue ,CAT
Diabetic Neuropathies,Nervous System ; Endocrine System ,CAT
Helicobacter Infections,Bacterial Infections and Mycoses,CAT
Intestinal Neoplasms, Digestive System ,CAT
Stomach Neoplasms, Digestive System ,CAT
Gastritis-Atrophic,Digestive System ,CAT
Metaplasia,Pathological Conditions,CAT
Hearing Loss-Noise-Induced,Otorhinolaryngologic ; Nervous System ; Pathological Conditions,CAT
Carcinoma-Squamous Cell,Neoplasms,CAT
Breast Neoplasms, Skin and Connective Tissue ,CAT
Neoplasms,Neoplasms,CAT
Adenocarcinoma,Neoplasms,CAT
Multiple Sclerosis,Nervous System ; Immune System ,CAT
Inflammation,Pathological Conditions,CAT
Endometriosis,Female Urogenital,CAT
Brain Neoplasms, Nervous System ,CAT
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,CAT
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,CAT
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,CAT
Psoriasis,Skin and Connective Tissue ,CAT
Purpura,Hemic and Lymphatic ; Pathological Conditions,CAT
Lung Diseases,Respiratory Tract ,CAT
Urticaria,Skin and Connective Tissue ; Immune System ,CAT
Insulin Resistance,Nutritional and Metabolic ,CDKAL1
Colitis-Ulcerative,Digestive System ,CDKAL1
Crohn Disease,Digestive System ,CDKAL1
Hyperinsulinism,Nutritional and Metabolic ,CDKAL1
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,CDKAL1
Coronary Artery Disease,Cardiovascular ,CDKAL1
Diabetes Mellitus,Nutritional and Metabolic ; Endocrine System ,CDKAL1
Hypertension,Cardiovascular ,CDKAL1
HIRSCHSPRUNG DISEASE-CARDIAC DEFECTS-AND AUTONOMIC DYSFUNCTION,Unclassified,ECE1
Autonomic Nervous System Diseases,Nervous System ,ECE1
Craniofacial Abnormalities,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,ECE1
Heart Defects-Congenital,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,ECE1
Hirschsprung Disease,Digestive System ; Congenital-Hereditary-and Neonatal  and Abnormalities,ECE1
Hypertension,Cardiovascular ,ECE1
HYPERTENSION-ESSENTIAL,Cardiovascular ,ECE1
Arrhythmias-Cardiac,Cardiovascular ; Pathological Conditions,ECE1
Coronary Artery Disease,Cardiovascular ,ECE1
CONOTRUNCAL HEART MALFORMATIONS,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,ECE1
Wounds and Injuries,Wounds and Injuries,ECE1
Hyperglycemia,Nutritional and Metabolic ,ECE1
Acute Lung Injury,Respiratory Tract ,EDN1
Arrhythmias-Cardiac,Cardiovascular ; Pathological Conditions,EDN1
Asthma,Respiratory Tract ; Immune System ,EDN1
Atrial Fibrillation,Cardiovascular ; Pathological Conditions,EDN1
Bradycardia,Cardiovascular ; Pathological Conditions,EDN1
Cardiomyopathies,Cardiovascular ,EDN1
Cardiovascular Diseases,Cardiovascular ,EDN1
Cerebrovascular Disorders,Nervous System ; Cardiovascular ,EDN1
Craniofacial Abnormalities,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDN1
Erectile Dysfunction,Male Urogenital ; Mental Disorders,EDN1
Gastrointestinal Diseases,Digestive System ,EDN1
Heart Defects-Congenital,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDN1
Heart Failure,Cardiovascular ,EDN1
Hepatorenal Syndrome,Digestive System ; Urogenital,EDN1
Hernia-Hiatal,Pathological Conditions,EDN1
Hyperalgesia,Nervous System ; Pathological Conditions,EDN1
Hypertension,Cardiovascular ,EDN1
Hypertension-Pulmonary,Respiratory Tract ,EDN1
Hypertrophy,Pathological Conditions,EDN1
Hypotension,Cardiovascular ,EDN1
Infarction-Middle Cerebral Artery,Nervous System ; Cardiovascular ,EDN1
Kidney Diseases,Urogenital,EDN1
Liver Cirrhosis-Experimental,Digestive System ,EDN1
Myocardial Ischemia,Cardiovascular ,EDN1
Myocardial Reperfusion Injury,Cardiovascular ; Pathological Conditions,EDN1
Nephrosis,Urogenital,EDN1
Oral Ulcer,Stomatognathic ,EDN1
Pain,Nervous System ; Pathological Conditions; Psychological Phenomena and Processes,EDN1
Peptic Ulcer,Digestive System ,EDN1
Peripheral Nervous System Diseases,Nervous System ,EDN1
Renal Insufficiency,Urogenital,EDN1
Reperfusion Injury,Cardiovascular ; Pathological Conditions,EDN1
Respiratory Distress Syndrome-Adult,Respiratory Tract ,EDN1
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,EDN1
Urinary Bladder-Overactive,Urogenital; Pathological Conditions,EDN1
Urinary Retention,Urogenital,EDN1
Kidney Failure-Chronic,Urogenital,EDN1
Albuminuria,Urogenital; Pathological Conditions,EDN1
Hypertrophy-Left Ventricular,Cardiovascular ; Pathological Conditions,EDN1
Hepatitis B-Chronic,Virus ; Digestive System ,EDN1
Hypertension-Portal,Digestive System ,EDN1
Liver Cirrhosis,Digestive System ,EDN1
Pre-Eclampsia,Female Urogenital,EDN1
Vision Disorders,Nervous System ; Eye ; Pathological Conditions,EDN1
Glaucoma-Open-Angle,Eye ,EDN1
Lymphoma-T-Cell-Cutaneous, Hemic and Lymphatic ; Immune System ,EDN1
Skin Neoplasms, Skin and Connective Tissue ,EDN1
Coronary Artery Disease,Cardiovascular ,EDN1
Vitiligo,Skin and Connective Tissue ,EDN1
Diabetic Retinopathy,Eye ; Cardiovascular ; Endocrine System ,EDN1
Lung Neoplasms, Respiratory Tract ,EDN1
Carcinoma-Squamous Cell,Neoplasms,EDN1
Carcinoma,Neoplasms,EDN1
Neoplasm Metastasis, Pathological Conditions,EDN1
Prostatic Neoplasms, Male Urogenital ,EDN1
Colorectal Neoplasms, Digestive System ,EDN1
Breast Neoplasms, Skin and Connective Tissue ,EDN1
Neoplasms,Neoplasms,EDN1
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,EDN1
Melanoma,Neoplasms,EDN1
Glioblastoma,Neoplasms,EDN1
Anoxia,Pathological Conditions,EDN1
Colonic Neoplasms, Digestive System ,EDN1
Heart Diseases,Cardiovascular ,EDN1
Ovarian Neoplasms, Female Urogenital; Endocrine System ,EDN1
Myocardial Infarction,Cardiovascular ,EDN1
Malaria,Parasitic ,EDN1
Pulmonary Disease-Chronic Obstructive,Respiratory Tract ,EDN1
Arthritis-Rheumatoid,Musculoskeletal ; Skin and Connective Tissue ; Immune System ,EDN1
Urinary Bladder Neoplasms, Urogenital,EDN1
Carcinoma-Renal Cell, Urogenital,EDN1
Atherosclerosis,Cardiovascular ,EDN1
Periodontal Diseases,Stomatognathic ,EDN1
Lupus Erythematosus-Systemic,Skin and Connective Tissue ; Immune System ,EDN1
Cysts, Pathological Conditions,EDN1
Wounds and Injuries,Wounds and Injuries,EDN1
Ischemia,Pathological Conditions,EDN1
Osteoarthritis,Musculoskeletal ,EDN1
Psoriasis,Skin and Connective Tissue ,EDN1
Cardiomegaly,Cardiovascular ; Pathological Conditions,EDN1
Pulmonary Fibrosis,Respiratory Tract ,EDN1
Hyperglycemia,Nutritional and Metabolic ,EDN1
Fibrosis,Pathological Conditions,EDN1
Scleroderma-Systemic,Skin and Connective Tissue ,EDN1
Pancreatitis,Digestive System ,EDN1
Sepsis,Bacterial Infections and Mycoses; Pathological Conditions,EDN1
Systemic Inflammatory Response Syndrome,Pathological Conditions,EDN1
Shock-Septic,Bacterial Infections and Mycoses; Pathological Conditions,EDN1
Disease Progression,Pathological Conditions,EDN1
Prostatic Hyperplasia,Male Urogenital ,EDN1
Brain Edema,Nervous System ,EDN1
Carcinoma-Basal Cell,Neoplasms,EDN1
Tachycardia-Ventricular,Cardiovascular ; Pathological Conditions,EDN1
Purpura,Hemic and Lymphatic ; Pathological Conditions,EDN1
Hashimoto Disease,Endocrine System ,EDN1
Stroke,Nervous System ; Cardiovascular ,EDN1
Polycythemia,Hemic and Lymphatic ,EDN1
Glomerulonephritis-IGA,Urogenital; Immune System ,EDN1
Rhinitis-Allergic-Seasonal,Respiratory Tract ; Otorhinolaryngologic ; Immune System ,EDN1
Retinal Detachment,Eye ,EDN1
Fetal Growth Retardation,Female Urogenital; Congenital-Hereditary-and Neonatal  and Abnormalities; Pathological Conditions,EDN1
Stomach Ulcer,Digestive System ,EDN1
Ventricular Dysfunction-Left,Cardiovascular ,EDN1
Hypoplastic Left Heart Syndrome,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDN1
Polycystic Kidney Diseases,Urogenital,EDN1
Filariasis,Parasitic ,EDN1
Goiter-Endemic,Endocrine System ,EDN1
Ventricular Dysfunction,Cardiovascular ,EDN1
Craniofacial Abnormalities,Musculoskeletal ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRA
Erectile Dysfunction,Male Urogenital ; Mental Disorders,EDNRA
Heart Defects-Congenital,Cardiovascular ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRA
Hernia-Hiatal,Pathological Conditions,EDNRA
Migraine Disorders,Nervous System ,EDNRA
Nasopharyngeal Neoplasms, Stomatognathic ; Otorhinolaryngologic ,EDNRA
Sleep Apnea-Obstructive,Respiratory Tract ; Nervous System ,EDNRA
Hypertension,Cardiovascular ,EDNRA
Glaucoma,Eye ,EDNRA
Atherosclerosis,Cardiovascular ,EDNRA
Disease Progression,Pathological Conditions,EDNRA
Heart Failure,Cardiovascular ,EDNRA
VELOCARDIOFACIAL SYNDROME,Musculoskeletal ; Cardiovascular ; Hemic and Lymphatic ; Congenital-Hereditary-and Neonatal  and Abnormalities; Endocrine System ,EDNRA
Carcinoma,Neoplasms,EDNRA
Prostatic Neoplasms, Male Urogenital ,EDNRA
Breast Neoplasms, Skin and Connective Tissue ,EDNRA
Neoplasms,Neoplasms,EDNRA
Ovarian Neoplasms, Female Urogenital; Endocrine System ,EDNRA
Cardiomyopathy-Dilated,Cardiovascular ,EDNRA
Carcinoma-Renal Cell, Urogenital,EDNRA
Sarcoma-Kaposi,Virus ; Neoplasms,EDNRA
Wounds and Injuries,Wounds and Injuries,EDNRA
Pancreatitis,Digestive System ,EDNRA
Myocardial Ischemia,Cardiovascular ,EDNRA
Polycystic Kidney-Autosomal Dominant,Urogenital,EDNRA
Ganglion Cysts, Skin and Connective Tissue ,EDNRA
Polycystic Kidney Diseases,Urogenital,EDNRA
HIRSCHSPRUNG DISEASE-SUSCEPTIBILITY TO-2,Digestive System ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
WAARDENBURG SYNDROME-TYPE 4A,Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
ABCD SYNDROME,Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
Albinism-Black lock-Cell migration disorder of the neurocytes of the gut-and Deafness,Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
Breast Neoplasms, Skin and Connective Tissue ,EDNRB
Hernia-Hiatal,Pathological Conditions,EDNRB
Hirschsprung Disease,Digestive System ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
Hypertension-Pulmonary,Respiratory Tract ,EDNRB
Nephrosis,Urogenital,EDNRB
Subarachnoid Hemorrhage,Nervous System ; Cardiovascular ; Pathological Conditions,EDNRB
Migraine Disorders,Nervous System ,EDNRB
Horse Diseases,Animal ,EDNRB
Down Syndrome,Nervous System ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
Atherosclerosis,Cardiovascular ,EDNRB
Hypertension,Cardiovascular ,EDNRB
Disease Progression,Pathological Conditions,EDNRB
HIRSCHSPRUNG DISEASE-SUSCEPTIBILITY TO-1,Digestive System ; Congenital-Hereditary-and Neonatal  and Abnormalities,EDNRB
MELANOMA-CUTANEOUS MALIGNANT,Neoplasms,EDNRB
Lung Neoplasms, Respiratory Tract ,EDNRB
Carcinoma-Squamous Cell,Neoplasms,EDNRB
Carcinoma,Neoplasms,EDNRB
Glioma,Neoplasms,EDNRB
Melanoma,Neoplasms,EDNRB
Anoxia,Pathological Conditions,EDNRB
Cardiomyopathy-Dilated,Cardiovascular ,EDNRB
