"geneName","diseaseName"
"MIR29A","Liver neoplasms"
"MYC","Liver neoplasms"
"MYO5B","Liver neoplasms"
"ATF3","Liver neoplasms"
"NFE2L2","Liver neoplasms"
"SLC11A2","Liver neoplasms"
"SERPINE1","Liver neoplasms"
"ZDHHC2","Liver neoplasms"
"NOP16","Liver neoplasms"
"PLS1","Liver neoplasms"
"ATP7B","Liver neoplasms"
"PPARA","Liver neoplasms"
"PPARG","Liver neoplasms"
"PRKCE","Liver neoplasms"
"PSMA4","Liver neoplasms"
"DPP10","Liver neoplasms"
"PTPRO","Liver neoplasms"
"RAF1","Liver neoplasms"
"SCD","Liver neoplasms"
"CLSTN2","Liver neoplasms"
"ACOT1","Liver neoplasms"
"SIX3","Liver neoplasms"
"SRMS","Liver neoplasms"
"BRAF","Liver neoplasms"
"STAT3","Liver neoplasms"
"TCF4","Liver neoplasms"
"TGFA","Liver neoplasms"
"TNF","Liver neoplasms"
"TP53","Liver neoplasms"
"TRIO","Liver neoplasms"
"UGDH","Liver neoplasms"
"DDX54","Liver neoplasms"
"CCDC134","Liver neoplasms"
"IFT88","Liver neoplasms"
"PDRG1","Liver neoplasms"
"RTP3","Liver neoplasms"
"HSDL2","Liver neoplasms"
"TNFSF10","Liver neoplasms"
"HERC3","Liver neoplasms"
"LARGE","Liver neoplasms"
"PTER","Liver neoplasms"
"NR1I3","Liver neoplasms"
"NR1H4","Liver neoplasms"
"HOTAIR","Liver carcinoma"
"MICA","Liver carcinoma"
"CDH13","Liver carcinoma"
"LOC101929072","Liver carcinoma"
"CDKN1B","Liver carcinoma"
"CDKN2A","Liver carcinoma"
"CDKN3","Liver carcinoma"
"FST","Liver carcinoma"
"ATP5H","Liver carcinoma"
"CEBPA","Liver carcinoma"
"CEBPB","Liver carcinoma"
"CEBPD","Liver carcinoma"
"UBD","Liver carcinoma"
"HTATIP2","Liver carcinoma"
"IQGAP2","Liver carcinoma"
"ERP29","Liver carcinoma"
"COPS5","Liver carcinoma"
"PARK7","Liver carcinoma"
"THEM4","Liver carcinoma"
"ADD1","Liver carcinoma"
"JDP2","Liver carcinoma"
"CCR1","Liver carcinoma"
"COMT","Liver carcinoma"
"CP","Liver carcinoma"
"CRP","Liver carcinoma"
"CTNNB1","Liver carcinoma"
"CTSD","Liver carcinoma"
"CYLD","Liver carcinoma"
"CYP1A1","Liver carcinoma"
"CYP2E1","Liver carcinoma"
"CYP17A1","Liver carcinoma"
"ACE","Liver carcinoma"
"AKR1C2","Liver carcinoma"
"AFP","Liver carcinoma"
"DPYD","Liver carcinoma"
"E2F1","Liver carcinoma"
"EGF","Liver carcinoma"
"EGFR","Liver carcinoma"
"ARID2","Liver carcinoma"
"A2M","Liver carcinoma"
"ENO1","Liver carcinoma"
"EPHX1","Liver carcinoma"
"ESR1","Liver carcinoma"
"ETFA","Liver carcinoma"
"F2","Liver carcinoma"
"FABP5","Liver carcinoma"
"ACSL4","Liver carcinoma"
"FASN","Liver carcinoma"
"FBP1","Liver carcinoma"
"FDFT1","Liver carcinoma"
"FGF3","Liver carcinoma"
"FGF4","Liver carcinoma"
"SCAP","Liver carcinoma"
"FOXM1","Liver carcinoma"
"KIF1B","Liver carcinoma"
"FOS","Liver carcinoma"
"MTOR","Liver carcinoma"
"GAPDH","Liver carcinoma"
"GDF2","Liver carcinoma"
"GJB1","Liver carcinoma"
"GPC3","Liver carcinoma"
"GNMT","Liver carcinoma"
"GLUL","Liver carcinoma"
"SFN","Liver carcinoma"
"GRIK1","Liver carcinoma"
"PYCARD","Liver carcinoma"
"CD274","Liver carcinoma"
"PDIA3","Liver carcinoma"
"GSTM1","Liver carcinoma"
"GSTP1","Liver carcinoma"
"ANXA4","Liver carcinoma"
"HGF","Liver carcinoma"
"HGFAC","Liver carcinoma"
"ACACA","Liver carcinoma"
"HMGB2","Liver carcinoma"
"HMGCR","Liver carcinoma"
"APC","Liver carcinoma"
"APCS","Liver carcinoma"
"HRAS","Liver carcinoma"
"APEX1","Liver carcinoma"
"HSD3B2","Liver carcinoma"
"HSPA5","Liver carcinoma"
"HSPA9","Liver carcinoma"
"HSPB1","Liver carcinoma"
"BIRC5","Liver carcinoma"
"APOA1","Liver carcinoma"
"IDH1","Liver carcinoma"
"IFNA1","Liver carcinoma"
"IGBP1","Liver carcinoma"
"IGF1R","Liver carcinoma"
"IGF2","Liver carcinoma"
"IGF2R","Liver carcinoma"
"CYR61","Liver carcinoma"
"IL6","Liver carcinoma"
"CXCL8","Liver carcinoma"
"IRF2","Liver carcinoma"
"IRS1","Liver carcinoma"
"AR","Liver carcinoma"
"ITIH3","Liver carcinoma"
"JUN","Liver carcinoma"
"KRAS","Liver carcinoma"
"LETM1","Liver carcinoma"
"MIR122","Liver carcinoma"
"MAT1A","Liver carcinoma"
"ME1","Liver carcinoma"
"MET","Liver carcinoma"
"KMT2A","Liver carcinoma"
"MMP2","Liver carcinoma"
"MMP9","Liver carcinoma"
"MPO","Liver carcinoma"
"MT1A","Liver carcinoma"
"MT2A","Liver carcinoma"
"MVK","Liver carcinoma"
"MYC","Liver carcinoma"
"ACLY","Liver carcinoma"
"ATM","Liver carcinoma"
"NFE2L2","Liver carcinoma"
"NFKBIA","Liver carcinoma"
"NME1","Liver carcinoma"
"ACO2","Liver carcinoma"
"ACOX1","Liver carcinoma"
"PCK1","Liver carcinoma"
"MLXIPL","Liver carcinoma"
"MBTPS2","Liver carcinoma"
"PDGFB","Liver carcinoma"
"PDGFRL","Liver carcinoma"
"CDK14","Liver carcinoma"
"PGD","Liver carcinoma"
"PGK1","Liver carcinoma"
"ABCB1","Liver carcinoma"
"ABCB4","Liver carcinoma"
"PHB","Liver carcinoma"
"SERPINA1","Liver carcinoma"
"SERPINA4","Liver carcinoma"
"PIK3CA","Liver carcinoma"
"PKM","Liver carcinoma"
"PKP1","Liver carcinoma"
"PPARG","Liver carcinoma"
"MED1","Liver carcinoma"
"PPP1R1A","Liver carcinoma"
"EAF2","Liver carcinoma"
"AKR1B10","Liver carcinoma"
"PTGS2","Liver carcinoma"
"PTK2","Liver carcinoma"
"ARID1B","Liver carcinoma"
"MTUS1","Liver carcinoma"
"PYGL","Liver carcinoma"
"KMT2C","Liver carcinoma"
"RAC1","Liver carcinoma"
"RARA","Liver carcinoma"
"RB1","Liver carcinoma"
"CCND1","Liver carcinoma"
"BCL2L1","Liver carcinoma"
"ACTB","Liver carcinoma"
"RPS6","Liver carcinoma"
"RPS6KA3","Liver carcinoma"
"RRM1","Liver carcinoma"
"RRM2","Liver carcinoma"
"SCD","Liver carcinoma"
"CCL3","Liver carcinoma"
"BID","Liver carcinoma"
"CXCL12","Liver carcinoma"
"HHIP","Liver carcinoma"
"SKP2","Liver carcinoma"
"SLC2A1","Liver carcinoma"
"SLC2A2","Liver carcinoma"
"SLC5A5","Liver carcinoma"
"SOD2","Liver carcinoma"
"SREBF1","Liver carcinoma"
"SREBF2","Liver carcinoma"
"STAT1","Liver carcinoma"
"STAT4","Liver carcinoma"
"TALDO1","Liver carcinoma"
"MIR615","Liver carcinoma"
"PRDX2","Liver carcinoma"
"TERT","Liver carcinoma"
"TGFA","Liver carcinoma"
"TGFB1","Liver carcinoma"
"TH","Liver carcinoma"
"TP53","Liver carcinoma"
"TSC1","Liver carcinoma"
"TST","Liver carcinoma"
"TYMS","Liver carcinoma"
"UCHL1","Liver carcinoma"
"C9","Liver carcinoma"
"UMPS","Liver carcinoma"
"NR1H2","Liver carcinoma"
"VCAM1","Liver carcinoma"
"ZNF23","Liver carcinoma"
"CA2","Liver carcinoma"
"BTG2","Liver carcinoma"
"TFPI2","Liver carcinoma"
"CD276","Liver carcinoma"
"ARID1A","Liver carcinoma"
"AXIN1","Liver carcinoma"
"RTP3","Liver carcinoma"
"SPRTN","Liver carcinoma"
"TATDN1","Liver carcinoma"
"TAGLN2","Liver carcinoma"
"CASP8","Liver carcinoma"
"NR0B2","Liver carcinoma"
"IRS2","Liver carcinoma"
"EIF3H","Liver carcinoma"
"PNPT1","Liver carcinoma"
"MBTPS1","Liver carcinoma"
"CBR1","Liver carcinoma"
"TNFSF10","Liver carcinoma"
"TRIM24","Liver carcinoma"
"IQGAP1","Liver carcinoma"
"CCNA1","Liver carcinoma"
"CCNE1","Liver carcinoma"
"FATE1","Liver carcinoma"
"SOCS3","Liver carcinoma"
"USP2","Liver carcinoma"
"SLIT2","Liver carcinoma"
"ADAMTS1","Liver carcinoma"
"GDF15","Liver carcinoma"
"PRDX6","Liver carcinoma"
"DEPDC5","Liver carcinoma"
"KMT2B","Liver carcinoma"
"FGF19","Liver carcinoma"
"NR1H4","Liver carcinoma"
"ITS","insulinoma"
"MEN1","insulinoma"
"MEN1","Gastrinoma"
"MEN1","Glucagonoma"
"IFNA1","Vipoma"
"MEN1","Vipoma"
"SST","Vipoma"
"ABCC2","Gastrointestinal Diseases"
"CSF3","Gastrointestinal Diseases"
"EDN1","Gastrointestinal Diseases"
"GAST","Gastrointestinal Diseases"
"MTHFR","Gastrointestinal Diseases"
"MTR","Gastrointestinal Diseases"
"MYLK","Gastrointestinal Diseases"
"NFE2L2","Gastrointestinal Diseases"
"POMC","Gastrointestinal Diseases"
"CHD8","Gastrointestinal Diseases"
"CCK","Gastrointestinal Diseases"
"KEAP1","Gastrointestinal Diseases"
"TSEN54","Deglutition Disorders"
"TSEN34","Deglutition Disorders"
"TSEN2","Deglutition Disorders"
"MEGF10","Deglutition Disorders"
"ABAT","Gastroesophageal reflux disease"
"CXCL8","Gastroesophageal reflux disease"
"PTGS2","Gastroesophageal reflux disease"
"GER","Gastroesophageal reflux disease"
"TAC1","Gastroesophageal reflux disease"
"PGA5","Esophagitis"
"SOD2","Esophagitis"
"TRPV1","Esophagitis"
"F2RL1","Gastroenteritis"
"IFNG","Appendicitis"
"IL10","Appendicitis"
"NAMPT","Colitis"
"SIRT1","Colitis"
"ALOX5","Colitis"
"GCG","Colitis"
"HMOX1","Colitis"
"IFNG","Colitis"
"IGF1","Colitis"
"IL1B","Colitis"
"IL4","Colitis"
"IL6","Colitis"
"IL10","Colitis"
"IL17A","Colitis"
"MIF","Colitis"
"MPO","Colitis"
"NOS2","Colitis"
"GHRL","Colitis"
"PTGS2","Colitis"
"RELA","Colitis"
"SRC","Colitis"
"ADAM17","Colitis"
"TIMP3","Colitis"
"TNF","Colitis"
"TST","Colitis"
"MADCAM1","Colitis"
"CDH3","Ulcerative Colitis"
"IBD11","Ulcerative Colitis"
"RTEL1-TNFRSF6B","Ulcerative Colitis"
"C5orf66","Ulcerative Colitis"
"LOC100996583","Ulcerative Colitis"
"ARPC2","Ulcerative Colitis"
"LINC01475","Ulcerative Colitis"
"IKZF1","Ulcerative Colitis"
"PROCR","Ulcerative Colitis"
"MASP2","Ulcerative Colitis"
"CHP1","Ulcerative Colitis"
"PARK7","Ulcerative Colitis"
"NXPE1","Ulcerative Colitis"
"CCR6","Ulcerative Colitis"
"ADAD1","Ulcerative Colitis"
"ZFP90","Ulcerative Colitis"
"IL23R","Ulcerative Colitis"
"PUS10","Ulcerative Colitis"
"NKX2-3","Ulcerative Colitis"
"DAP","Ulcerative Colitis"
"DEFA5","Ulcerative Colitis"
"DEFA6","Ulcerative Colitis"
"SLC26A3","Ulcerative Colitis"
"ECM1","Ulcerative Colitis"
"SLC39A11","Ulcerative Colitis"
"CCNY","Ulcerative Colitis"
"FCGR2A","Ulcerative Colitis"
"KIF21B","Ulcerative Colitis"
"OTUD3","Ulcerative Colitis"
"ICOSLG","Ulcerative Colitis"
"NR5A2","Ulcerative Colitis"
"GNA12","Ulcerative Colitis"
"HLA-DQA1","Ulcerative Colitis"
"HLA-DRB1","Ulcerative Colitis"
"HNF4A","Ulcerative Colitis"
"APEH","Ulcerative Colitis"
"ICAM1","Ulcerative Colitis"
"IRGM","Ulcerative Colitis"
"IL1B","Ulcerative Colitis"
"IL7R","Ulcerative Colitis"
"CXCL8","Ulcerative Colitis"
"CXCR1","Ulcerative Colitis"
"CXCR2","Ulcerative Colitis"
"IL10","Ulcerative Colitis"
"IL12B","Ulcerative Colitis"
"IRF5","Ulcerative Colitis"
"ITGAL","Ulcerative Colitis"
"JAK2","Ulcerative Colitis"
"LAMB1","Ulcerative Colitis"
"IL17REL","Ulcerative Colitis"
"LSP1","Ulcerative Colitis"
"LTF","Ulcerative Colitis"
"MMP9","Ulcerative Colitis"
"MPO","Ulcerative Colitis"
"MST1","Ulcerative Colitis"
"MUC3A","Ulcerative Colitis"
"NFKB1","Ulcerative Colitis"
"SFMBT1","Ulcerative Colitis"
"GHRL","Ulcerative Colitis"
"RTEL1","Ulcerative Colitis"
"PLCL1","Ulcerative Colitis"
"CCHCR1","Ulcerative Colitis"
"RNF186","Ulcerative Colitis"
"C1orf106","Ulcerative Colitis"
"IL26","Ulcerative Colitis"
"GSDMB","Ulcerative Colitis"
"PTGIR","Ulcerative Colitis"
"PTPN2","Ulcerative Colitis"
"PTPRC","Ulcerative Colitis"
"RELA","Ulcerative Colitis"
"CFB","Ulcerative Colitis"
"CCL20","Ulcerative Colitis"
"PRDM1","Ulcerative Colitis"
"NOD2","Ulcerative Colitis"
"CARD9","Ulcerative Colitis"
"LINC00598","Ulcerative Colitis"
"MROH3P","Ulcerative Colitis"
"SLC11A1","Ulcerative Colitis"
"STAT3","Ulcerative Colitis"
"TNF","Ulcerative Colitis"
"VCAM1","Ulcerative Colitis"
"IL1R2","Ulcerative Colitis"
"C21orf33","Ulcerative Colitis"
"CASP3","Ulcerative Colitis"
"MAML2","Ulcerative Colitis"
"PSMG1","Ulcerative Colitis"
"RIPK2","Ulcerative Colitis"
"IL18RAP","Ulcerative Colitis"
"SPHK1","Ulcerative Colitis"
"HERC2","Ulcerative Colitis"
"BSN","Ulcerative Colitis"
"ORMDL3","Ulcerative Colitis"
"TNFSF15","Ulcerative Colitis"
"CDH1","Ulcerative Colitis"
"TNFSF15","Enteritis"
"IL10","Enterocolitis"
"NLRC4","Enterocolitis"
"RPSAP35","Inflammatory Bowel Diseases"
"MIR6727","Inflammatory Bowel Diseases"
"APC2","Inflammatory Bowel Diseases"
"RGS14","Inflammatory Bowel Diseases"
"CD226","Inflammatory Bowel Diseases"
"ADCY3","Inflammatory Bowel Diseases"
"CCDC85B","Inflammatory Bowel Diseases"
"CDC37","Inflammatory Bowel Diseases"
"RASSF1","Inflammatory Bowel Diseases"
"ATXN2L","Inflammatory Bowel Diseases"
"PARK7","Inflammatory Bowel Diseases"
"PUSL1","Inflammatory Bowel Diseases"
"ZNF831","Inflammatory Bowel Diseases"
"MAP3K8","Inflammatory Bowel Diseases"
"IL23R","Inflammatory Bowel Diseases"
"HORMAD2","Inflammatory Bowel Diseases"
"PUS10","Inflammatory Bowel Diseases"
"DAP","Inflammatory Bowel Diseases"
"DENND1B","Inflammatory Bowel Diseases"
"DEFA5","Inflammatory Bowel Diseases"
"DEFB4A","Inflammatory Bowel Diseases"
"IBD8","Inflammatory Bowel Diseases"
"DNMT3B","Inflammatory Bowel Diseases"
"GPR183","Inflammatory Bowel Diseases"
"FCGR2A","Inflammatory Bowel Diseases"
"FOSL2","Inflammatory Bowel Diseases"
"IL27","Inflammatory Bowel Diseases"
"IPMK","Inflammatory Bowel Diseases"
"PNKD","Inflammatory Bowel Diseases"
"PTPN22","Inflammatory Bowel Diseases"
"MUC19","Inflammatory Bowel Diseases"
"GPR35","Inflammatory Bowel Diseases"
"IBD3","Inflammatory Bowel Diseases"
"IBD9","Inflammatory Bowel Diseases"
"APC","Inflammatory Bowel Diseases"
"IBD2","Inflammatory Bowel Diseases"
"UBAC2","Inflammatory Bowel Diseases"
"IRGM","Inflammatory Bowel Diseases"
"IL2RA","Inflammatory Bowel Diseases"
"IL6","Inflammatory Bowel Diseases"
"IL10","Inflammatory Bowel Diseases"
"FLJ31356","Inflammatory Bowel Diseases"
"LSP1","Inflammatory Bowel Diseases"
"SMAD3","Inflammatory Bowel Diseases"
"C10orf55","Inflammatory Bowel Diseases"
"C5orf56","Inflammatory Bowel Diseases"
"MST1","Inflammatory Bowel Diseases"
"IBD4","Inflammatory Bowel Diseases"
"IBD5","Inflammatory Bowel Diseases"
"IBD6","Inflammatory Bowel Diseases"
"TUBD1","Inflammatory Bowel Diseases"
"HDAC7","Inflammatory Bowel Diseases"
"PLAU","Inflammatory Bowel Diseases"
"CDKAL1","Inflammatory Bowel Diseases"
"CPSF3L","Inflammatory Bowel Diseases"
"ATG16L1","Inflammatory Bowel Diseases"
"C1orf106","Inflammatory Bowel Diseases"
"PRKCB","Inflammatory Bowel Diseases"
"IBD7","Inflammatory Bowel Diseases"
"ZMIZ1","Inflammatory Bowel Diseases"
"PTGS2","Inflammatory Bowel Diseases"
"PTPN2","Inflammatory Bowel Diseases"
"RIT1","Inflammatory Bowel Diseases"
"BACH2","Inflammatory Bowel Diseases"
"RORC","Inflammatory Bowel Diseases"
"THADA","Inflammatory Bowel Diseases"
"TMBIM1","Inflammatory Bowel Diseases"
"NOD2","Inflammatory Bowel Diseases"
"ERAP2","Inflammatory Bowel Diseases"
"CARD9","Inflammatory Bowel Diseases"
"SFRP1","Inflammatory Bowel Diseases"
"SFRP2","Inflammatory Bowel Diseases"
"CXCR5","Inflammatory Bowel Diseases"
"TRAF3IP2-AS1","Inflammatory Bowel Diseases"
"LINC00598","Inflammatory Bowel Diseases"
"CRTC3","Inflammatory Bowel Diseases"
"SLC11A1","Inflammatory Bowel Diseases"
"SLC22A4","Inflammatory Bowel Diseases"
"STAT3","Inflammatory Bowel Diseases"
"STAT4","Inflammatory Bowel Diseases"
"TNF","Inflammatory Bowel Diseases"
"UBE2L3","Inflammatory Bowel Diseases"
"NDFIP1","Inflammatory Bowel Diseases"
"DUSP16","Inflammatory Bowel Diseases"
"TSPAN14","Inflammatory Bowel Diseases"
"C21orf33","Inflammatory Bowel Diseases"
"SYN3","Inflammatory Bowel Diseases"
"KIAA1109","Inflammatory Bowel Diseases"
"CUL2","Inflammatory Bowel Diseases"
"ZGPAT","Inflammatory Bowel Diseases"
"GPR65","Inflammatory Bowel Diseases"
"IL18RAP","Inflammatory Bowel Diseases"
"VNN1","Inflammatory Bowel Diseases"
"FIBP","Inflammatory Bowel Diseases"
"ZNF300","Inflammatory Bowel Diseases"
"CD6","Inflammatory Bowel Diseases"
"DLG5","Inflammatory Bowel Diseases"
"LPXN","Inflammatory Bowel Diseases"
"TM9SF4","Inflammatory Bowel Diseases"
"TNFSF15","Inflammatory Bowel Diseases"
"PSORS1C3","Crohn Disease"
"SCAMP3","Crohn Disease"
"LINC00492","Crohn Disease"
"LINC01475","Crohn Disease"
"LOC101929163","Crohn Disease"
"LOC102723878","Crohn Disease"
"PHTF1","Crohn Disease"
"FGFR1OP","Crohn Disease"
"SP140","Crohn Disease"
"NLRP3","Crohn Disease"
"TAGAP","Crohn Disease"
"CLN3","Crohn Disease"
"CRP","Crohn Disease"
"LACC1","Crohn Disease"
"IL23R","Crohn Disease"
"PUS10","Crohn Disease"
"GPBAR1","Crohn Disease"
"SBSPON","Crohn Disease"
"NKX2-3","Crohn Disease"
"DENND1B","Crohn Disease"
"DNMT3A","Crohn Disease"
"ELF1","Crohn Disease"
"TMEM17","Crohn Disease"
"CCNY","Crohn Disease"
"JAZF1","Crohn Disease"
"ZNF365","Crohn Disease"
"SBNO2","Crohn Disease"
"FN1","Crohn Disease"
"FPR2","Crohn Disease"
"FUT2","Crohn Disease"
"PTPN22","Crohn Disease"
"GCKR","Crohn Disease"
"MUC19","Crohn Disease"
"PTRF","Crohn Disease"
"LOC285626","Crohn Disease"
"HLA-DRB1","Crohn Disease"
"FAM92B","Crohn Disease"
"IRGM","Crohn Disease"
"IFNG","Crohn Disease"
"IFNGR2","Crohn Disease"
"IGF1","Crohn Disease"
"IL2RA","Crohn Disease"
"IL6","Crohn Disease"
"IL10","Crohn Disease"
"IL12B","Crohn Disease"
"LEP","Crohn Disease"
"C1orf141","Crohn Disease"
"LTA","Crohn Disease"
"SMAD3","Crohn Disease"
"MLN","Crohn Disease"
"C5orf56","Crohn Disease"
"MST1","Crohn Disease"
"NCF4","Crohn Disease"
"CD244","Crohn Disease"
"TLR9","Crohn Disease"
"PPARA","Crohn Disease"
"PPARG","Crohn Disease"
"CDKAL1","Crohn Disease"
"BANK1","Crohn Disease"
"ATG16L1","Crohn Disease"
"PPP5C","Crohn Disease"
"ITLN1","Crohn Disease"
"C1orf106","Crohn Disease"
"BTNL2","Crohn Disease"
"PSMB10","Crohn Disease"
"ZMIZ1","Crohn Disease"
"SLAIN2","Crohn Disease"
"PTPN2","Crohn Disease"
"BACH2","Crohn Disease"
"SLC22A23","Crohn Disease"
"CCL2","Crohn Disease"
"THADA","Crohn Disease"
"NOD2","Crohn Disease"
"ERAP2","Crohn Disease"
"CARD9","Crohn Disease"
"MROH3P","Crohn Disease"
"SLC11A1","Crohn Disease"
"STAT3","Crohn Disease"
"SCARNA5","Crohn Disease"
"TLR4","Crohn Disease"
"TNF","Crohn Disease"
"TYK2","Crohn Disease"
"UBE2L3","Crohn Disease"
"VTN","Crohn Disease"
"TMEM258","Crohn Disease"
"ANKRD55","Crohn Disease"
"CPEB4","Crohn Disease"
